1	tt1091532:7.8	tt1098876:7.7	tt1100953:8.1	tt1100954:7.8	tt1100955:8.0	tt1100956:8.4	
2	tt1323361:8.8	tt1323362:8.3	tt1323363:8.1	tt1323364:8.7	tt1323365:8.2	tt1323366:8.2	tt1323367:8.3	
3	tt1576073:8.2	tt1623934:8.4	tt1623935:8.2	tt1623936:8.6	tt1623937:8.5	tt1623938:8.5	tt1623939:8.7	
4	tt2039987:8.2	tt2044410:8.1	tt2051532:8.0	tt2057074:8.1	tt2063418:8.2	tt2071137:8.2	tt2132946:8.0	tt2575644:7.8	
5	tt3485142:7.9	tt3500514:8.2	tt3514498:8.1	tt3548006:8.2	tt3551104:8.3	tt3565284:8.2	tt6262758:7.6	
