2	tt10399582:8.0	tt11119948:8.7	tt11740382:8.6	tt11768614:8.8	tt13046262:8.1	tt13046264:8.4	tt13138812:-	
3	tt11119940:-	tt11119942:-	tt13138816:-	tt13138820:-	tt13138826:-	tt13138832:-	
1	tt9387154:7.7	tt9661128:8.0	tt9661134:8.0	tt9661140:8.0	tt9661142:8.2	tt9661144:8.1	
