1	tt3131250:7.4	tt3632612:6.8	tt5508682:6.4	tt6263952:6.0	tt6997592:6.0	tt7002126:6.0	tt7002172:6.1	tt7002258:6.1	tt7002330:6.0	tt7002424:5.8	tt7002554:6.3	tt7002908:6.3	tt7003166:6.6	tt7003296:6.0	tt7006526:6.4	tt7007018:6.0	tt7007888:6.0	tt7008072:6.3	tt7008154:6.1	tt7008424:6.1	
2	tt7008506:6.3	tt7011418:5.7	tt7025392:6.0	tt7025480:6.0	tt7025574:6.3	tt7028458:6.2	tt7028552:6.3	tt7028628:6.2	tt7028688:6.5	tt7028790:6.3	tt7030310:6.7	tt7031974:6.1	tt7032030:6.9	tt7032172:6.2	tt7060752:6.3	tt8039504:-	tt8044114:-	tt8044116:-	tt8044118:-	tt8056286:-	
3	tt8056288:-	tt8056290:-	tt8056292:-	tt8056298:-	tt8063416:-	tt8063420:-	tt8079056:-	tt8083574:-	tt8095412:-	tt8095420:-	tt8120410:-	tt8128698:-	tt8128700:-	tt8128702:-	tt8134104:-	tt8134106:-	tt8134108:-	tt8139754:-	tt8139756:-	tt8139758:-	
4	tt8144684:-	tt8144686:-	tt8144688:-	tt8149414:-	tt8149416:-	tt8149420:-	tt8156824:-	tt8156826:-	tt8156828:-	tt8156830:-	tt8156832:-	tt8168000:-	tt8168040:-	tt8168102:-	tt8175606:-	tt8175608:-	tt8175610:-	tt8180044:-	tt8180046:-	tt8180048:-	
5	tt8193138:-	tt8193142:-	tt8193150:-	tt8193154:-	tt8193156:-	tt8200356:-	tt8200360:-	tt8200364:-	tt8200366:-	tt8200368:-	tt8202212:-	tt8202214:-	tt8202216:-	tt8202218:-	tt8202220:-	tt8206686:-	tt8206688:-	tt8206690:-	tt8206692:-	tt8206694:-	
6	tt8212002:-	tt8212004:-	tt8212006:-	tt8212008:-	tt8212010:-	tt8218434:-	tt8218436:-	tt8218438:-	tt8218442:-	tt8218444:-	tt8220300:-	tt8220302:-	tt8220304:-	tt8220306:-	tt8220308:-	tt8227890:-	tt8227892:-	tt8227894:-	tt8227896:-	tt8227898:-	
7	tt8242624:-	tt8242628:-	tt8242630:-	tt8242632:-	tt8242634:-	tt8242636:-	tt8242638:-	tt8242640:-	tt8242642:-	tt8242644:-	tt8242646:-	tt8242648:-	tt8242652:-	tt8242654:-	tt8242656:-	tt8246318:-	tt8246320:-	tt8246322:-	tt8246324:-	tt8246330:-	tt8250658:-	tt8250660:-	tt8250662:-	tt8250664:-	tt8250666:-	
8	tt8259130:-	tt8259132:-	tt8259134:-	tt8259136:-	tt8259138:-	tt8263582:-	tt8263584:-	tt8263586:-	tt8263588:-	tt8263590:-	tt8270646:-	tt8270648:-	tt8270650:-	tt8270652:-	tt8270654:-	tt8272918:-	tt8272920:-	tt8272922:-	tt8272924:-	tt8272926:-	
9	tt8280156:-	tt8280158:-	tt8280162:-	tt8280164:-	tt8280166:-	tt8283144:-	tt8283146:-	tt8283148:-	tt8283150:-	tt8283152:-	tt8290920:-	tt8290922:-	tt8290924:-	tt8290926:-	tt8290928:-	tt8296142:-	tt8296144:-	tt8296146:-	tt8296148:-	tt8296150:-	
10	tt8301636:-	tt8301644:-	tt8301646:-	tt8301648:-	tt8301650:-	tt8306618:-	tt8306620:-	tt8306622:-	tt8306624:-	tt8306626:-	tt8316062:-	tt8316064:-	tt8316066:-	tt8316068:-	tt8316070:-	tt8324194:-	tt8324196:-	tt8324198:-	tt8324200:-	tt8324202:-	
11	tt8329028:-	tt8329030:-	tt8329032:-	tt8329034:-	tt8329036:-	tt8334070:-	tt8334072:-	tt8334076:-	tt8334078:-	tt8334080:-	tt8338364:-	tt8338366:-	tt8338368:-	tt8338370:-	tt8338372:-	tt8344998:-	tt8345002:-	tt8345008:-	tt8345010:-	tt8345014:-	tt8347550:-	tt8347552:-	tt8347554:-	tt8347556:-	tt8347558:-	
12	tt8355522:-	tt8355524:-	tt8355526:-	tt8355528:-	tt8355530:-	tt8359484:-	tt8359486:-	tt8359488:-	tt8359490:-	tt8359492:-	tt8364066:-	tt8364070:-	tt8364072:-	tt8364074:-	tt8364076:-	tt8369808:-	tt8369810:-	tt8369812:-	tt8369814:-	tt8369816:-	
13	tt8374182:-	tt8374184:-	tt8374186:-	tt8374188:-	tt8374190:-	tt8377646:-	tt8377648:-	tt8377650:-	tt8377652:-	tt8377654:-	tt8387568:-	tt8387570:-	tt8387572:-	tt8387574:-	tt8387576:-	tt8400296:-	tt8400298:-	tt8400300:-	tt8400302:-	tt8400306:-	
17	tt8391286:-	tt8391288:-	tt8391290:-	tt8391292:-	tt8391294:-	tt8465566:-	tt8465568:-	tt8465570:-	tt8465572:-	tt8467298:-	tt8467302:-	tt8467304:-	tt8467306:-	tt8467308:-	tt8467310:-	tt8470792:-	tt8470794:-	tt8470796:-	tt8470798:-	tt8470800:-	
14	tt8395484:-	tt8395486:-	tt8395488:-	tt8395490:-	tt8395492:-	tt8409706:-	tt8409708:-	tt8409734:-	tt8409736:-	tt8409738:-	tt8409740:-	tt8409742:-	tt8409744:-	tt8409746:-	tt8409748:-	tt8417622:-	tt8417624:-	tt8417626:-	tt8417628:-	tt8417630:-	
15	tt8421744:-	tt8421746:-	tt8421748:-	tt8421750:-	tt8421752:-	tt8439528:-	tt8439530:-	tt8439532:-	tt8439534:-	tt8439536:-	tt8439548:-	tt8439550:-	tt8439552:-	tt8439554:-	tt8439556:-	tt8439558:-	tt8439560:-	tt8439562:-	tt8439564:-	tt8439566:-	
16	tt8439634:-	tt8439636:-	tt8439638:-	tt8439640:-	tt8439642:-	tt8450088:-	tt8450090:-	tt8450094:-	tt8450104:-	tt8450106:-	tt8452908:-	tt8452910:-	tt8452912:-	tt8452914:-	tt8452916:-	tt8457814:-	tt8457816:-	tt8457818:-	tt8457820:-	tt8457822:-	
18	tt8479260:-	tt8479262:-	tt8479264:-	tt8479266:-	tt8479268:-	tt8486612:-	tt8486616:-	tt8486646:-	tt8486648:-	tt8486650:-	tt8489470:-	tt8489472:-	tt8489474:-	tt8489476:-	tt8489478:-	tt8496592:-	tt8496596:-	tt8496600:-	tt8496610:-	tt8496612:-	
19	tt8499664:-	tt8499666:-	tt8499668:-	tt8499670:-	tt8499672:-	tt8503186:-	tt8503188:-	tt8503190:-	tt8503192:-	tt8503194:-	tt8511856:-	tt8511858:-	tt8511860:-	tt8511862:-	tt8511864:-	tt8516584:-	tt8516588:-	tt8516590:-	tt8516592:-	tt8516594:-	
20	tt8522682:-	tt8522684:-	tt8522686:-	tt8522688:-	tt8522690:-	tt8527890:-	tt8527892:-	tt8527898:-	tt8527900:-	tt8528152:-	tt8532304:-	tt8532306:-	tt8532310:-	tt8532312:-	tt8532314:-	tt8532320:-	tt8532322:-	tt8532324:-	tt8532326:-	tt8532328:-	
