3	tt12198624:8.1	tt12410812:8.1	tt12410816:8.2	tt12410820:8.2	tt12410824:8.6	
4	tt13145136:8.5	tt13373810:8.1	tt13373814:7.9	tt13373816:7.4	tt13373824:7.8	
1	tt7884932:8.0	tt7884934:7.9	tt7884936:7.2	tt7884940:8.1	tt7884950:7.5	tt7884954:7.8	
2	tt8665552:8.1	tt8665966:7.9	tt8665968:8.0	tt8665970:8.0	tt8665974:7.4	tt8665976:8.2	
