1	tt1785082:7.5	tt1828760:7.4	tt1835569:7.4	tt1841285:7.5	tt1845093:7.1	tt1845094:6.8	
2	tt2055315:7.7	tt2159671:7.6	tt2159673:8.6	tt2176771:8.0	tt2176773:7.9	tt2176775:7.5	tt2176777:7.4	tt2176779:7.5	tt2176781:7.7	tt2176783:7.5	tt2602654:8.0	
3	tt2507504:8.0	tt2507508:8.0	tt2607874:7.9	tt2611608:8.2	tt2611612:8.1	tt2611614:7.7	tt2611616:7.8	tt2611622:7.8	tt2611624:7.5	tt2612346:8.0	tt2699728:7.9	
4	tt3326154:8.2	tt3521586:8.4	tt3554808:7.9	tt3585364:7.8	tt3599358:7.6	tt3615676:7.6	tt3632506:7.7	tt3649664:7.8	tt3664716:7.6	tt3678880:7.9	
5	tt3702338:8.1	tt4324622:7.5	tt4343220:7.8	tt4365662:8.1	tt4386788:8.0	tt4412804:7.9	tt4451974:8.0	tt4459846:8.2	tt4469760:7.8	tt4488036:8.0	
6	tt4442046:7.6	tt4451738:7.3	tt4949488:8.0	tt5084254:7.5	tt5084256:7.6	tt5084258:8.1	tt5084260:8.0	tt5084262:7.8	tt5084264:7.3	tt5084266:8.0	tt5284498:6.4	
7	tt4442048:8.0	tt4451740:7.4	tt6042530:7.7	tt6386800:7.8	tt6386804:7.5	tt6386806:7.6	tt6386808:7.9	tt6458972:7.7	tt6459136:7.9	tt6476666:7.7	
8	tt6428776:7.6	tt7231424:7.7	tt7763592:7.7	tt7899870:7.9	tt7926046:7.5	tt7926050:7.8	tt7926052:7.7	tt7926056:7.9	tt7994090:8.0	tt7994092:8.0	
