4	tt0468101:-	tt0692515:-	tt0692516:8.3	tt0692524:-	tt0692535:-	tt0692538:-	tt0692540:-	tt0692541:-	tt0692543:-	tt0692545:-	tt0692546:-	tt0692551:-	tt0692557:-	tt0769734:-	tt0900715:-	tt1108590:-	
5	tt0486202:6.3	tt0692527:-	tt0692536:-	tt0692556:-	tt0757002:-	tt0784923:-	tt0784924:-	tt0784925:-	tt0784926:-	tt0784928:-	tt0784929:-	tt0784930:-	tt0784931:-	tt0794617:-	
2	tt0692514:-	tt0692519:-	tt0692523:-	tt0692531:-	tt0692534:-	tt0692537:-	tt0692539:-	tt0692544:-	tt0692547:-	tt0692548:-	tt0692549:-	tt0692558:-	
3	tt0692517:-	tt0692518:-	tt0692521:-	tt0692522:-	tt0692525:-	tt0692526:-	tt0692532:-	tt0692533:-	tt0692542:-	tt0692552:-	tt0692554:-	tt0692555:-	
1	tt0692520:-	tt0692528:-	tt0692529:-	tt0692530:-	tt0692550:-	tt0692553:-	
6	tt0870055:-	tt0903732:-	tt0920212:-	tt0920213:-	tt0921759:-	tt0930488:-	tt0933317:-	tt0952872:-	tt0957851:-	tt0967237:-	tt0979124:-	tt0979125:-	tt0979294:-	tt0979295:-	tt0979339:-	tt0979340:-	tt0979341:-	
18	tt10443334:-	tt10495430:-	tt10551490:-	tt11015956:-	tt11018332:-	tt11018340:-	tt11018344:-	tt11018348:-	tt11018352:-	tt11129912:-	tt11129930:-	
7	tt1172127:-	tt1172128:-	tt1172129:-	tt1172130:-	tt1176579:-	tt1176580:-	tt1186706:-	tt1186707:-	tt1186708:-	tt1195575:-	tt1195576:-	tt1204817:-	tt1204818:-	tt1204819:-	tt1214607:-	tt1214608:-	tt1220241:-	
8	tt1345802:-	tt1345803:-	tt1355668:-	tt1355669:-	tt1355670:-	tt1365371:-	tt1376376:-	tt1384934:-	tt1384935:-	tt1395088:-	tt1395089:-	tt1407119:-	
9	tt1449343:-	tt1708883:-	tt1722262:-	tt1722263:-	tt1722264:-	tt1725510:-	tt1729103:-	tt1738086:-	tt1742578:-	tt1747441:-	tt1751612:-	tt1770242:-	tt1776696:-	
10	tt1637448:-	tt1941934:-	tt1979005:-	tt2003875:-	tt2117533:-	tt2161029:-	tt2204997:-	tt2493348:-	tt3016542:-	tt3016552:-	tt3026706:-	tt3057384:-	tt3057410:-	
11	tt2164250:-	tt2172645:-	tt2191080:-	tt2353079:8.2	tt2353081:-	tt2353085:-	tt2364213:-	tt2364217:-	tt2941546:-	tt2941548:-	tt2941552:-	tt2942032:-	
12	tt2441738:6.6	tt2750668:-	tt2926332:-	tt2926342:7.4	tt2927634:-	tt2927644:-	tt2927654:-	tt2947956:6.4	tt2962722:6.0	tt2992414:3.2	tt2992418:6.4	tt3007334:-	tt3026882:-	
13	tt3472932:-	tt3489304:-	tt3505490:-	tt3538726:-	tt3556266:-	tt3568964:9.4	tt3597802:-	tt3615556:-	tt3630578:-	tt3633006:-	tt3633042:-	tt3633056:7.4	tt3653098:-	
14	tt3997260:-	tt4179308:-	tt4179314:-	tt4179316:-	tt4179328:-	tt4179334:-	tt4179336:-	tt4857002:-	tt4857006:-	tt4857010:-	tt4857014:-	tt5266432:-	tt5285432:-	
15	tt4942540:-	tt5464440:-	tt5486728:-	tt5507222:-	tt5521386:-	tt5528346:-	tt5541806:-	tt5566588:-	tt5582522:-	tt5619688:-	tt5677426:-	tt5680530:-	tt5699722:-	
16	tt6516172:-	tt6657040:-	tt6657048:-	tt6657058:-	tt6657064:-	tt6657072:-	tt6840734:-	tt6859272:-	tt6912036:-	tt6998638:-	tt6998642:-	tt6998644:-	tt7055634:-	
17	tt7781200:-	tt7781202:-	tt7781208:-	tt7781210:-	tt7781216:-	tt7781220:-	tt7781222:-	tt7892456:-	tt8077096:-	tt8100108:-	tt8153794:-	tt8153808:-	tt8264622:-	tt8282952:-	tt8333202:-	
