2	tt0859325:8.2	tt0859328:8.6	tt0866604:8.5	tt0866605:8.2	tt0866609:7.8	tt0866612:7.8	
3	tt0859326:8.2	tt0859327:6.9	tt0866602:7.9	tt0866603:7.6	tt0866607:5.4	tt0866610:8.0	tt0866611:8.5	
1	tt0859329:8.0	tt0859330:7.6	tt0866599:6.7	tt0866600:7.3	tt0866601:7.6	tt0866606:7.7	tt0866608:8.0	
