1	tt3233560:7.4	tt3729032:7.5	tt3815328:7.3	tt3906164:8.0	tt3909890:7.8	tt3909892:7.6	tt3909898:7.8	tt3909900:8.0	tt3909902:7.6	tt3912262:7.9	tt3976338:6.3	
2	tt4199070:7.9	tt4581312:8.0	tt4724268:7.9	tt4763632:7.5	tt4763636:7.6	tt4874380:7.9	tt4929774:7.4	tt4932170:7.9	tt4932174:7.7	tt4932180:8.0	
3	tt4864654:7.8	tt5165042:7.4	tt5334324:7.9	tt5339494:7.5	tt5342596:7.9	tt5342600:7.8	tt5342604:7.8	tt5342638:8.0	tt5342640:7.5	tt5342642:8.0	
4	tt5869578:7.0	tt5893282:7.5	tt5943674:7.4	tt5995776:7.3	tt5995778:7.7	tt6106468:7.8	tt6111156:7.4	tt6111158:7.3	tt6113450:7.9	tt6113452:7.6	
5	tt7291234:6.3	
