1	tt10500052:-	tt10500056:-	tt10500062:-	
2	tt10500064:-	tt10500102:-	tt10500106:-	tt10500116:-	tt10500120:-	tt10500124:-	tt10500128:-	
3	tt10608890:-	tt10929806:-	
4	tt10929816:-	tt10929824:-	
