1	tt1009478:-	tt1708632:-	tt1709978:-	tt1709979:-	tt1709981:-	tt1709982:-	tt1709983:-	tt1709984:-	tt1713179:-	tt1713180:-	tt1713181:-	tt1713182:-	tt1713183:-	tt1713184:-	
5	tt11321570:-	
2	tt1257429:-	tt1706792:-	tt1706793:-	tt1706794:-	tt1706795:-	tt1706796:-	tt1706797:-	tt1708628:-	tt1708630:-	tt1708631:-	tt1708633:-	tt1708634:-	tt1708635:-	
3	tt1708629:-	tt1709975:-	tt1709976:-	tt1709977:-	tt1709980:-	tt1709985:-	tt1711608:-	tt1711609:-	tt1711610:-	tt1712303:-	tt1712304:-	tt1712305:-	tt1712306:-	
\N	tt1930786:-	
4	tt2154698:-	tt2164124:-	tt2190600:-	tt2203988:-	tt2329493:-	tt2340703:-	tt2354779:-	tt2365151:-	tt2394331:-	tt2539434:-	tt2539436:-	tt2539438:-	tt2539442:-	
