6	tt10283888:-	tt9364480:-	tt9364486:-	
5	tt10288296:-	tt10288318:-	
4	tt10298910:-	tt10298916:-	
7	tt11336746:-	tt11342626:-	
1	tt3206466:-	tt3213362:-	tt3242404:-	tt3257874:-	tt3284966:-	tt3357634:-	tt3406838:-	tt3708112:-	tt3708114:-	tt3708122:-	tt3708124:-	tt3708134:-	tt3708158:-	tt3708162:-	tt3708184:-	tt3708244:-	tt3708266:-	tt3708294:-	tt3708298:-	tt3708304:-	tt3708306:-	tt3708308:-	tt3708312:-	tt3708314:-	
2	tt4321406:-	tt4726030:-	tt5217590:-	
3	tt5266116:-	tt5345930:-	
