6	tt10095112:-	tt10095158:-	tt10095160:-	tt10095162:-	tt10095164:-	tt10095168:-	tt10095170:-	tt10095172:-	tt10095174:-	tt10095176:-	tt10095188:-	tt10095190:-	tt10095194:-	tt10095196:-	tt10095198:-	tt10095200:-	tt10095202:-	tt10095206:-	tt10095208:-	tt10095222:-	
7	tt10732238:-	tt10732244:-	tt10732250:-	tt10732256:-	tt10732264:-	tt10732276:-	tt10732278:-	tt10732290:-	tt10834122:-	tt10834132:-	tt10834146:-	tt10834166:-	tt10834180:-	tt10834196:-	tt10834202:-	tt10834216:-	tt10834222:-	tt10834230:-	tt10834232:-	tt10834236:-	
5	tt10732344:-	tt10732346:-	tt10732348:-	tt10732352:-	tt10732356:-	tt10732364:-	tt10732434:-	tt10732440:-	tt10732442:-	tt10732444:-	tt10732446:-	tt10732448:-	tt10732452:-	tt10732456:-	tt10732458:-	tt9107866:-	tt9107888:-	tt9107900:-	tt9107908:-	tt9107924:-	
1	tt10732460:-	tt10732466:-	tt10732470:-	tt10732478:-	tt10732486:-	tt10732488:-	tt10732492:-	tt10732494:-	tt10732498:-	tt10732502:-	tt6014996:-	tt6040198:-	tt6047592:-	tt6047596:-	tt6047598:-	
2	tt10732508:-	tt10732510:-	tt10732514:-	tt10732518:-	tt10732524:-	tt10732528:-	tt10732532:-	tt10732536:-	tt10732538:-	tt10732542:-	tt10732546:-	tt10732550:-	tt6410034:-	tt6410056:-	tt6410058:-	tt6410066:-	tt6410072:-	tt6583692:-	tt6583702:-	tt7652344:-	
8	tt11337150:-	tt11818732:-	tt11818746:-	tt11818758:-	tt11818790:-	tt11869134:-	tt11869170:-	tt11869186:-	tt11869218:-	tt11869228:-	tt11869270:-	tt11877252:-	tt11883380:-	tt11883428:-	tt11883446:-	tt11918922:-	tt11918944:-	tt11918958:-	tt11918974:-	tt11918994:-	
9	tt12819046:-	tt12819052:-	tt12825412:-	tt12872940:-	tt12914850:-	
10	tt13533276:-	tt13920818:-	tt13920822:-	tt13920824:-	tt13920826:-	tt13920830:-	tt13920834:-	tt13920838:-	tt13920854:-	tt13985378:-	
\N	tt13985380:-	tt13985510:-	
3	tt7330786:-	tt7330804:-	tt7330816:-	tt7330830:-	tt7330836:-	tt7334190:-	tt7334198:-	tt7334200:-	tt7334204:-	tt7334252:-	tt7404110:-	tt7404118:-	tt7404130:-	tt7404136:-	tt7404146:-	tt7404148:-	tt7404150:-	tt7404164:-	tt7404174:-	tt7404186:-	
4	tt7978558:-	tt7978562:-	tt7978566:-	tt7978570:-	tt7978576:-	tt7978586:-	tt7978594:-	tt7978652:-	tt7978654:-	tt7978662:-	tt7978664:-	tt7978666:-	tt7978668:-	tt7978676:-	tt7978680:-	tt7978690:-	tt7978694:-	tt7978696:-	tt7978700:-	tt7978702:-	
