2	tt0662495:7.5	tt0825924:-	tt0825925:-	tt1147180:-	tt1147181:-	tt1147182:-	tt1147183:-	tt1147184:-	
1	tt0825922:-	tt0825923:-	tt1147175:-	tt1147176:-	tt1147177:-	tt1147178:-	tt1147179:-	
3	tt0825926:-	tt0825927:-	tt1147185:-	tt1147186:-	tt1147187:-	tt1147188:-	tt1147189:-	
