\N	tt11125998:6.8	tt11126004:6.7	tt11126006:7.0	tt11126020:5.9	tt11126024:7.1	tt11126028:6.8	
1	tt2763830:8.0	tt2763832:7.5	tt2763834:7.6	tt2763836:8.1	tt2763838:8.0	tt2763844:7.8	tt2763852:7.6	tt2763860:8.5	tt2763862:7.9	tt2763868:7.5	tt2763872:8.3	tt2763874:8.1	tt2763892:8.2	tt3256076:7.8	
2	tt3255906:8.2	tt3255908:8.4	tt3255910:8.1	tt3255916:8.3	tt3255918:8.2	tt3255924:8.4	tt3255932:8.6	tt3255938:8.0	tt3255940:8.4	tt3255944:8.2	tt3255946:8.4	tt3255952:8.9	tt4811336:8.1	
3	tt4655786:8.5	tt4676644:8.2	tt4676652:8.6	tt4676656:8.4	tt4676658:8.4	tt4676686:8.2	tt4676694:8.2	tt4811252:8.3	tt4811254:8.4	tt4811256:8.7	tt4811260:8.6	tt4811262:9.1	tt5266402:8.9	
4	tt8263660:8.1	tt8263662:8.3	tt8359576:8.3	tt8369734:8.4	tt8391104:8.2	tt8421522:8.2	tt8421530:7.6	tt8451866:8.2	tt8515778:7.4	tt8515782:8.0	tt8585222:8.0	tt8629196:8.5	tt8669686:8.9	
