2	tt0587367:-	tt1782072:-	tt1785909:-	tt1785912:-	
\N	tt0587368:-	tt0587369:-	tt0587371:-	tt0587372:-	tt0587373:-	tt0587375:-	tt0587376:-	tt0587377:-	tt0587378:-	tt0587379:-	tt0587380:-	tt0587381:-	tt0587382:-	tt0587383:-	tt0587384:-	tt0587385:-	tt0587387:-	tt0587388:-	tt0902369:-	tt0902370:-	tt10032112:-	tt10109954:-	tt10111326:-	tt10130506:-	tt10135010:-	tt10214472:-	tt10235228:-	tt10256198:-	tt10266264:-	tt10295720:-	tt10300178:-	tt10312208:-	tt10323422:-	tt10323638:-	tt10334548:-	tt10335314:-	tt10382746:-	tt10384938:-	tt10406856:-	tt10406986:-	tt1153494:-	tt1783927:-	tt9779964:-	tt9817162:-	tt9872628:-	tt9892280:-	
1	tt1487433:-	tt1487434:-	tt1782071:-	tt8115278:-	tt8115290:-	tt8115296:-	
3	tt1783928:-	tt1785910:-	tt1785911:-	
4	tt8115306:-	tt8115318:-	tt8115334:-	
