1	tt0234794:8.3	tt0709051:7.4	tt0709052:7.5	tt0709059:7.6	tt0709061:7.3	tt0709075:6.1	tt0709079:8.1	tt0709091:7.3	tt0709101:7.5	tt0709142:6.3	tt0709172:7.7	tt0709175:8.2	tt0709181:7.2	tt0709185:7.7	tt0709188:6.8	tt0709194:8.3	tt0709205:8.4	tt0709207:8.8	tt0709209:8.2	tt0709212:7.8	tt0709219:8.6	
2	tt0709028:8.8	tt0709033:8.7	tt0709045:7.3	tt0709090:6.9	tt0709104:7.6	tt0709107:8.1	tt0709123:7.5	tt0709127:7.0	tt0709134:6.9	tt0709137:7.4	tt0709144:7.5	tt0709164:7.8	tt0709166:7.9	tt0709170:7.7	tt0709177:7.3	tt0709187:9.2	tt0709192:7.3	tt0709199:8.8	tt0709202:8.1	tt0709203:8.4	tt0709208:8.5	tt0709213:7.8	
5	tt0709029:8.5	tt0709031:7.8	tt0709039:7.8	tt0709047:7.5	tt0709049:8.3	tt0709071:7.6	tt0709077:8.6	tt0709086:7.9	tt0709112:8.3	tt0709121:8.0	tt0709122:8.6	tt0709150:7.9	tt0709153:7.3	tt0709157:8.6	tt0709160:7.0	tt0709165:7.3	tt0709179:8.3	tt0709186:7.7	tt0709204:7.8	tt0709206:7.6	tt0709211:7.7	tt0709220:8.0	
4	tt0709030:8.7	tt0709034:7.9	tt0709048:7.5	tt0709054:8.1	tt0709063:7.4	tt0709073:8.1	tt0709074:8.1	tt0709080:7.3	tt0709085:8.6	tt0709140:7.7	tt0709145:7.5	tt0709163:7.7	tt0709173:8.6	tt0709180:7.9	tt0709183:7.7	tt0709189:7.8	tt0709193:7.1	tt0709196:7.9	tt0709200:7.9	tt0709215:8.5	tt0709217:7.6	tt0709218:9.5	
3	tt0709032:8.1	tt0709065:8.1	tt0709067:7.8	tt0709069:7.1	tt0709087:8.2	tt0709092:8.3	tt0709093:7.5	tt0709109:8.1	tt0709111:8.2	tt0709113:7.8	tt0709114:7.6	tt0709119:7.8	tt0709128:8.8	tt0709129:7.6	tt0709139:7.8	tt0709141:8.5	tt0709143:8.3	tt0709161:7.3	tt0709167:7.4	tt0709168:8.6	tt0709184:8.3	tt0709216:8.1	
6	tt0709035:8.6	tt0709037:8.1	tt0709066:8.0	tt0709070:8.3	tt0709072:6.8	tt0709094:7.6	tt0709096:7.7	tt0709098:8.9	tt0709120:8.0	tt0709124:7.3	tt0709132:7.3	tt0709138:7.8	tt0709146:8.3	tt0709148:7.8	tt0709154:8.2	tt0709155:8.5	tt0709169:7.5	tt0709171:7.2	tt0709174:8.0	tt0709182:8.0	tt0709195:8.2	tt0709214:8.8	
8	tt0709036:7.5	tt0709042:7.7	tt0709058:7.7	tt0709062:7.6	tt0709076:7.9	tt0709097:7.7	tt0709099:7.6	tt0709106:7.2	tt0709110:8.0	tt0709116:7.7	tt0709125:8.4	tt0709126:8.5	tt0709130:8.7	tt0709131:8.9	tt0709147:8.6	tt0709151:8.6	tt0709152:9.1	tt0709162:6.8	tt0709210:8.9	tt0709221:8.2	
9	tt0709038:7.9	tt0709040:7.9	tt0709041:8.0	tt0709044:7.5	tt0709046:8.4	tt0709053:8.7	tt0709060:7.2	tt0709064:8.0	tt0709081:7.7	tt0709084:7.6	tt0709133:7.6	tt0709135:7.9	tt0709149:7.7	tt0709159:8.3	tt0709178:7.2	tt0709190:8.0	tt0709191:8.3	tt0709197:7.6	tt0709198:7.0	tt0709201:7.6	
7	tt0709043:7.3	tt0709050:7.1	tt0709057:7.5	tt0709068:8.1	tt0709078:7.9	tt0709082:8.3	tt0709083:8.4	tt0709088:8.4	tt0709089:7.6	tt0709095:8.3	tt0709100:7.4	tt0709102:8.1	tt0709103:9.0	tt0709105:8.5	tt0709108:7.1	tt0709115:7.9	tt0709117:9.1	tt0709118:9.5	tt0709136:7.6	tt0709156:7.1	tt0709158:7.9	tt0709176:7.3	
10	tt0756405:8.5	tt0779687:7.6	tt0784558:8.6	tt0786245:7.7	tt0786615:8.2	tt0788800:7.7	tt0789662:7.7	tt0789663:9.1	tt0799357:8.7	tt0799358:8.8	tt0801501:7.2	tt0812084:7.9	tt0812085:8.8	tt0854940:7.7	tt0882617:7.4	tt0887239:7.8	tt0892687:8.2	tt0900883:6.8	tt0902889:8.4	tt0912284:9.1	
