1	tt14162488:-	tt14162492:-	tt14162496:-	tt14162504:-	tt14162506:-	tt14162512:-	
2	tt14162518:-	tt14162522:-	tt14162524:-	tt14162526:-	tt14162528:-	tt14162532:-	tt14162536:-	
3	tt14162540:-	tt14162542:-	tt14162544:-	tt14162550:-	tt14162554:-	tt14162556:-	tt14162558:-	tt14162564:-	
4	tt14174746:-	tt14174750:-	tt14174754:-	tt14174756:-	tt14174762:-	tt14174768:-	tt14174772:-	tt14174774:-	
