5	tt10005284:9.3	tt9203528:8.2	tt9525916:8.2	tt9599994:8.2	tt9639696:8.1	tt9663044:8.7	tt9728350:8.0	tt9765702:8.1	tt9799628:8.4	tt9809498:8.5	tt9809502:7.6	tt9809506:9.4	tt9870384:8.4	tt9870386:9.2	
6	tt10065360:8.2	tt10065362:8.6	tt10065364:8.0	tt10065366:8.0	tt10065368:8.7	tt10065370:7.9	tt10065374:8.6	tt10065376:8.8	tt10065378:8.1	tt10065380:8.4	tt10065384:8.7	tt10065386:9.0	tt10065388:9.5	tt10065390:9.4	
1	tt3533990:7.6	tt3653868:7.1	tt3653872:7.3	tt3653874:7.5	tt3653878:8.0	tt3653882:7.6	tt3653920:7.4	tt3653924:7.6	tt3653932:8.0	tt3653964:7.4	tt3653980:7.9	tt3653984:8.1	tt4132008:7.6	
2	tt4444336:7.9	tt4835328:8.0	tt4835758:7.7	tt4835812:7.9	tt4835880:8.0	tt4835902:7.9	tt4835934:7.6	tt4835960:8.2	tt4835994:8.4	tt4836034:7.8	tt4837892:7.9	tt4837982:8.1	tt4838098:9.1	
3	tt6288890:8.0	tt6415370:8.0	tt6415374:8.3	tt6431188:7.9	tt6431222:8.0	tt6431250:7.7	tt6431298:7.8	tt6537378:8.1	tt6553752:8.3	tt6587090:7.6	tt6616710:8.3	tt6647674:8.6	tt6671898:9.1	
4	tt6647624:8.2	tt7826756:8.3	tt7857028:7.7	tt7896162:8.0	tt7939172:8.4	tt7981526:9.1	tt8046642:8.6	tt8070502:8.3	tt8082864:8.8	tt8082910:8.0	tt8082948:8.3	tt8083004:9.2	tt9228672:8.8	
