1	tt5277858:7.5	tt5277876:7.7	tt5277884:7.7	tt5277886:7.8	tt5277888:7.7	tt5277898:8.0	tt5292890:8.0	tt5292894:7.8	
2	tt6316568:8.3	tt6316576:8.2	tt6316586:8.2	tt6316590:8.1	tt6316598:8.1	tt6417726:7.9	tt6417768:8.3	tt6417822:8.6	tt6417852:8.5	
3	tt7771770:7.9	tt7771774:8.4	tt7923208:8.0	tt7923230:7.6	tt7923266:8.1	tt7950356:8.0	tt7979316:8.1	tt8012122:7.6	tt8042010:8.5	
