2	tt0579449:7.9	tt0579450:8.1	tt0579453:8.1	tt0579461:8.0	tt0579464:8.1	tt0756867:8.1	
3	tt0579451:7.9	tt0579456:7.9	tt0579457:7.9	tt0579459:7.3	tt0579460:7.8	tt0756871:7.6	
1	tt0579452:7.2	tt0579454:7.5	tt0579455:7.8	tt0579458:8.0	tt0579462:7.6	tt0579463:8.0	tt0756870:7.6	
4	tt0756868:8.2	tt0756869:7.8	tt0756872:7.9	tt0756873:7.2	tt0756874:7.4	tt0756875:7.8	tt0756876:7.5	
