1	tt14338714:-	tt14338722:-	tt14338726:-	tt14338730:-	tt14338732:-	tt14364340:-	tt14364342:-	tt14364346:-	tt14364348:-	tt14364350:-	tt14364354:-	tt14371098:-	tt14371102:-	tt14371104:-	tt14371106:-	tt14371108:-	tt14371110:-	tt14371114:-	tt14371116:-	tt14371118:-	tt14371122:-	tt14371126:-	tt14371128:-	tt14371130:-	tt14371132:-	tt14371138:-	tt14371140:-	tt14371142:-	tt14371144:-	tt14371146:-	tt14371152:-	tt14371156:-	tt14371158:-	tt14371160:-	tt14371162:-	tt14371166:-	tt14371168:-	tt14371170:-	tt14371172:-	tt14371174:-	tt14371176:-	tt14371324:-	tt14371326:-	tt14371328:-	tt14371330:-	tt14377108:-	tt14377170:-	tt14377178:-	tt14377502:-	tt14377504:-	tt14377508:-	tt14377510:-	tt14377514:-	tt14377520:-	tt14377524:-	tt14377526:-	tt14377528:-	tt14377530:-	tt14377538:-	tt14377540:-	tt14377542:-	tt14377544:-	tt14377546:-	tt14377550:-	tt14377552:-	tt14377554:-	tt14377556:-	tt14377560:-	tt14377562:-	tt14377564:-	tt14377566:-	tt14377568:-	tt14377570:-	tt14377576:-	tt14377578:-	tt14377580:-	tt14377582:-	tt14377586:-	tt14377598:-	tt14377600:-	tt14377602:-	tt14377606:-	tt14377612:-	tt14377626:-	tt14377628:-	tt14377630:-	tt14377632:-	tt14377634:-	tt14377638:-	tt14377640:-	tt14377644:-	tt14377646:-	tt14377648:-	tt14377650:-	tt14377652:-	tt14377654:-	tt14377656:-	tt14377660:-	tt14377668:-	tt14377670:-	tt14377676:-	tt14377678:-	tt14377680:-	tt14377682:-	tt14377686:-	tt14377688:-	tt14377690:-	tt14377692:-	tt14377694:-	tt14377696:-	tt14377698:-	tt14377700:-	tt14377702:-	tt14377704:-	tt14377708:-	tt14377712:-	tt14377714:-	tt14377716:-	tt14377718:-	tt14377720:-	tt14377722:-	tt14377726:-	tt14377728:-	tt14377730:-	tt14377732:-	tt14377734:-	tt14377736:-	tt14377738:-	tt14377740:-	tt14377742:-	tt14377744:-	tt14377746:-	tt14377748:-	tt14377750:-	tt14377752:-	tt14377754:-	tt14377756:-	tt14377758:-	tt14377762:-	tt14377764:-	tt14377766:-	tt14377768:-	tt14377770:-	tt14377772:-	tt14377776:-	tt14377780:-	tt14377782:-	tt14377784:-	tt14377788:-	tt14377790:-	tt14377792:-	tt14377794:-	tt14377796:-	tt14377798:-	tt14377800:-	tt14377802:-	tt14377804:-	tt14377806:-	tt14378612:-	tt14378614:-	tt14378616:-	tt14378618:-	tt14378620:-	tt14378622:-	tt14378624:-	tt14378626:-	tt14378628:-	tt14378630:-	tt14378632:-	tt14378634:-	tt14378636:-	tt14378638:-	tt14378640:-	tt14378644:-	tt14378648:-	tt14378650:-	tt14378652:-	tt14378654:-	tt14378656:-	tt14378658:-	tt14378660:-	tt14378662:-	tt14378664:-	tt14378666:-	tt14378668:-	tt14378670:-	tt14378674:-	tt14378676:-	tt14378680:-	tt14378682:-	tt14378684:-	tt14378686:-	tt14378688:-	tt14378694:-	tt14378696:-	tt14378698:-	tt14378700:-	tt14378702:-	tt14378704:-	tt14378706:-	tt14378708:-	tt14378710:-	tt14378712:-	tt14378720:-	tt14378722:-	tt14378726:-	tt14378728:-	tt14378730:-	tt14378734:-	tt14378736:-	tt14378738:-	tt14378744:-	tt14378746:-	tt14378750:-	tt14378752:-	tt14378754:-	tt14378756:-	tt14378758:-	tt14378764:-	tt14378766:-	tt14378768:-	tt14378770:-	tt14378772:-	tt14378780:-	tt14378782:-	tt14378784:-	tt14378788:-	tt14378790:-	tt14378802:-	tt14378806:-	tt14378808:-	tt14378810:-	tt14378812:-	tt14378814:-	tt14378816:-	tt14378820:-	tt14378824:-	tt14378826:-	tt14378828:-	tt14378830:-	tt14378832:-	tt14378838:-	tt14378842:-	tt14378844:-	tt14378852:-	tt14378854:-	tt14378856:-	tt14378858:-	tt14378874:-	tt14378876:-	tt14378878:-	tt14378880:-	tt14378882:-	tt14378884:-	tt14378886:-	tt14378888:-	tt14378890:-	tt14378892:-	
2	tt14378898:-	tt14378900:-	tt14378902:-	tt14378906:-	tt14378910:-	tt14378912:-	tt14378914:-	tt14378916:-	tt14378918:-	tt14378920:-	tt14378922:-	tt14378924:-	tt14378926:-	tt14378928:-	tt14378930:-	tt14378940:-	tt14378944:-	tt14378952:-	tt14378956:-	tt14378958:-	tt14378962:-	tt14378964:-	tt14378966:-	tt14378968:-	tt14378972:-	tt14378990:-	tt14379000:-	tt14379002:-	tt14379004:-	tt14379006:-	tt14379008:-	tt14379010:-	tt14379012:-	tt14379014:-	tt14379016:-	tt14379018:-	tt14379020:-	tt14379022:-	tt14379024:-	tt14379026:-	tt14379030:-	tt14379032:-	tt14379034:-	tt14379036:-	tt14379038:-	tt14379044:-	tt14379046:-	tt14379048:-	tt14379050:-	tt14379052:-	tt14379054:-	tt14379056:-	tt14379060:-	tt14379064:-	tt14379066:-	tt14379068:-	tt14379070:-	tt14379072:-	tt14379074:-	tt14379076:-	tt14379078:-	tt14379080:-	tt14379082:-	tt14379090:-	tt14379092:-	tt14379094:-	tt14379096:-	tt14379102:-	tt14379120:-	tt14379122:-	tt14379124:-	tt14379126:-	tt14379128:-	tt14379132:-	tt14379134:-	tt14379136:-	tt14379140:-	tt14379142:-	tt14379150:-	tt14379154:-	tt14379156:-	tt14379158:-	tt14379162:-	tt14379164:-	tt14379166:-	tt14379168:-	tt14379178:-	tt14379184:-	tt14379186:-	tt14379188:-	tt14379190:-	tt14379192:-	tt14379200:-	tt14379204:-	tt14379206:-	tt14379208:-	tt14379212:-	tt14379218:-	tt14379220:-	tt14379224:-	tt14379226:-	tt14379228:-	tt14379230:-	tt14379232:-	tt14379234:-	tt14379236:-	tt14379238:-	tt14379242:-	tt14379244:-	tt14379246:-	tt14379248:-	tt14379250:-	tt14379252:-	tt14379254:-	tt14379256:-	tt14379258:-	tt14379260:-	tt14379262:-	tt14379264:-	tt14379266:-	tt14379268:-	tt14379270:-	tt14379280:-	tt14379284:-	tt14379288:-	tt14379290:-	tt14379292:-	tt14379296:-	tt14379298:-	tt14379302:-	tt14379304:-	tt14379306:-	tt14379308:-	tt14379310:-	tt14379312:-	tt14379314:-	tt14379316:-	tt14379320:-	tt14379322:-	tt14379324:-	tt14379326:-	tt14379328:-	tt14379330:-	tt14379332:-	tt14379334:-	tt14379336:-	tt14379338:-	tt14379340:-	tt14379346:-	tt14379348:-	tt14379350:-	tt14379352:-	tt14379354:-	tt14379356:-	tt14379358:-	tt14379362:-	tt14379364:-	tt14379368:-	tt14379370:-	tt14379372:-	tt14379374:-	tt14379376:-	tt14379382:-	tt14379384:-	tt14379386:-	tt14379390:-	tt14379392:-	tt14379396:-	tt14379398:-	tt14379402:-	tt14379404:-	tt14379406:-	tt14379416:-	tt14379418:-	tt14379420:-	tt14379422:-	tt14379424:-	tt14379428:-	tt14379430:-	tt14379432:-	tt14379434:-	tt14379436:-	tt14379440:-	tt14379442:-	tt14379444:-	tt14379446:-	tt14379448:-	tt14379452:-	tt14379454:-	tt14379456:-	tt14379458:-	tt14379460:-	tt14379462:-	tt14379464:-	tt14379468:-	tt14379470:-	tt14379474:-	tt14379476:-	tt14379478:-	tt14379480:-	tt14379484:-	tt14379486:-	tt14379488:-	tt14379490:-	tt14379492:-	tt14379494:-	tt14379496:-	tt14379500:-	tt14379502:-	tt14379504:-	tt14379506:-	tt14379508:-	tt14379510:-	tt14379512:-	tt14379514:-	tt14379516:-	tt14379518:-	tt14379524:-	tt14379526:-	tt14379528:-	tt14379530:-	tt14379532:-	tt14379534:-	tt14379536:-	tt14379540:-	tt14379542:-	tt14379544:-	tt14379548:-	tt14379550:-	tt14379552:-	tt14379554:-	tt14379556:-	tt14379558:-	tt14379562:-	tt14379564:-	tt14379568:-	tt14379570:-	tt14379574:-	tt14379576:-	tt14379578:-	tt14379582:-	tt14379584:-	tt14379588:-	tt14379594:-	tt14379596:-	tt14379598:-	tt14379600:-	tt14379608:-	tt14379610:-	tt14379612:-	tt14379614:-	tt14379616:-	tt14379634:-	tt14379636:-	tt14379638:-	tt14379640:-	tt14379642:-	
3	tt14379646:-	tt14379648:-	tt14379650:-	tt14379654:-	tt14379656:-	tt14379666:-	tt14379672:-	tt14379674:-	tt14379678:-	tt14379680:-	tt14379690:-	tt14379692:-	tt14379694:-	tt14379696:-	tt14379698:-	tt14379704:-	tt14379706:-	tt14379708:-	tt14379710:-	tt14379714:-	tt14379718:-	tt14379720:-	tt14379722:-	tt14379724:-	tt14379726:-	tt14379730:-	tt14379732:-	tt14379734:-	tt14379736:-	tt14379738:-	tt14379742:-	tt14379744:-	tt14379746:-	tt14379748:-	tt14379750:-	tt14379752:-	tt14379754:-	tt14379756:-	tt14379758:-	tt14379760:-	tt14379762:-	tt14379764:-	tt14379766:-	tt14379768:-	tt14379770:-	tt14379774:-	tt14379776:-	tt14379778:-	tt14379796:-	tt14379798:-	tt14379802:-	tt14379804:-	tt14379806:-	tt14379814:-	tt14379816:-	tt14379822:-	tt14379826:-	tt14379828:-	tt14379834:-	tt14379840:-	tt14379842:-	tt14379844:-	tt14379846:-	tt14379854:-	tt14379858:-	tt14379860:-	tt14379862:-	tt14379864:-	tt14379870:-	tt14379872:-	tt14379876:-	tt14379886:-	tt14379888:-	tt14379894:-	tt14379898:-	tt14379900:-	tt14379904:-	tt14379918:-	tt14379920:-	tt14379922:-	tt14379924:-	tt14379928:-	tt14379940:-	tt14379948:-	tt14379952:-	tt14379958:-	tt14379960:-	tt14379968:-	tt14379980:-	tt14379982:-	tt14379988:-	tt14379992:-	tt14380000:-	tt14380006:-	tt14380008:-	tt14380010:-	tt14380018:-	tt14380022:-	tt14380026:-	tt14380028:-	tt14380034:-	tt14380036:-	tt14380046:-	tt14380050:-	tt14380052:-	tt14380054:-	tt14380058:-	tt14380066:-	tt14380216:-	tt14380220:-	tt14380222:-	tt14380228:-	tt14380246:-	tt14380252:-	tt14380254:-	tt14380258:-	tt14380262:-	tt14380278:-	tt14380280:-	tt14380286:-	tt14380288:-	tt14380292:-	tt14380300:-	tt14380302:-	tt14380308:-	tt14380310:-	tt14380318:-	tt14380334:-	tt14380336:-	tt14380350:-	tt14380354:-	tt14380360:-	tt14380366:-	tt14380370:-	tt14380372:-	tt14380374:-	tt14380376:-	tt14380380:-	tt14380382:-	tt14380386:-	tt14380388:-	tt14380392:-	tt14380400:-	tt14380402:-	tt14380406:-	tt14380410:-	tt14380416:-	tt14380446:-	tt14380452:-	tt14380458:-	tt14380462:-	tt14380464:-	tt14380484:-	tt14380488:-	tt14380492:-	tt14380494:-	tt14380498:-	tt14380502:-	tt14380506:-	tt14380508:-	tt14380510:-	tt14380512:-	tt14380516:-	tt14380518:-	tt14380520:-	tt14380522:-	tt14380530:-	tt14380536:-	tt14380538:-	tt14380540:-	tt14380542:-	tt14380544:-	tt14380568:-	tt14380578:-	tt14380580:-	tt14380586:-	tt14380588:-	tt14380610:-	tt14380614:-	tt14380620:-	tt14380622:-	tt14380626:-	tt14380652:-	tt14380656:-	tt14380664:-	tt14380666:-	tt14380676:-	tt14380698:-	tt14380700:-	tt14380702:-	tt14380706:-	tt14380710:-	tt14380720:-	tt14380722:-	tt14380728:-	tt14380730:-	tt14380732:-	tt14380750:-	tt14380756:-	tt14380758:-	tt14380762:-	tt14380770:-	tt14380776:-	tt14380778:-	tt14380780:-	tt14380786:-	tt14380788:-	tt14380792:-	tt14380796:-	tt14380798:-	tt14380800:-	tt14380802:-	tt14380804:-	tt14380812:-	tt14380814:-	tt14380822:-	tt14380824:-	tt14380826:-	tt14380828:-	tt14380830:-	tt14380834:-	tt14380836:-	tt14380858:-	tt14380860:-	tt14380866:-	tt14380874:-	tt14380878:-	tt14380894:-	tt14380896:-	tt14380902:-	tt14380906:-	tt14380914:-	tt14380924:-	tt14380932:-	tt14380940:-	tt14380944:-	tt14380948:-	tt14380956:-	tt14380958:-	tt14380964:-	tt14380966:-	tt14380970:-	tt14380972:-	tt14380974:-	tt14380978:-	tt14380980:-	tt14380982:-	tt14380988:-	tt14380996:-	tt14380998:-	tt14381002:-	tt14381016:-	tt14381038:-	tt14381042:-	tt14381048:-	tt14381050:-	tt14381056:-	
4	tt14425586:-	tt14425588:-	tt14425590:-	tt14425592:-	tt14425594:-	tt14425598:-	tt14425600:-	tt14425602:-	tt14425604:-	tt14425606:-	tt14425608:-	tt14425610:-	tt14425614:-	tt14425616:-	tt14425618:-	tt14425624:-	tt14425626:-	tt14425628:-	tt14425630:-	tt14425632:-	tt14425634:-	tt14425638:-	tt14425640:-	tt14425644:-	tt14425646:-	tt14425648:-	tt14425650:-	tt14425652:-	tt14425654:-	tt14425656:-	tt14425660:-	tt14425662:-	tt14425666:-	tt14425670:-	tt14425672:-	tt14425674:-	tt14425676:-	tt14425678:-	tt14425682:-	tt14425684:-	tt14425686:-	tt14425688:-	tt14425690:-	tt14425694:-	tt14425696:-	tt14425702:-	tt14425704:-	tt14425706:-	tt14425708:-	tt14425710:-	tt14425712:-	tt14425716:-	tt14425718:-	tt14425722:-	tt14425730:-	tt14425732:-	tt14425734:-	tt14425736:-	tt14425738:-	tt14425750:-	tt14425756:-	tt14425760:-	tt14425766:-	tt14425768:-	tt14425770:-	tt14425784:-	tt14425790:-	tt14425792:-	tt14425796:-	tt14426082:-	tt14426084:-	tt14426086:-	tt14426088:-	tt14426090:-	tt14426094:-	tt14426098:-	tt14426100:-	tt14426106:-	tt14426108:-	tt14426110:-	tt14426112:-	tt14426114:-	tt14426116:-	tt14426118:-	tt14426120:-	tt14426122:-	tt14426124:-	tt14426126:-	tt14426130:-	tt14426132:-	tt14426134:-	tt14426136:-	tt14426140:-	tt14426152:-	tt14426154:-	tt14426156:-	tt14426158:-	tt14426162:-	tt14426164:-	tt14426166:-	tt14426168:-	tt14426170:-	tt14426172:-	tt14426178:-	tt14426182:-	tt14426186:-	tt14426188:-	tt14426192:-	tt14426198:-	tt14426200:-	tt14426204:-	tt14426206:-	tt14426208:-	tt14426218:-	tt14426220:-	tt14426222:-	tt14426224:-	tt14426226:-	tt14427360:-	tt14427362:-	tt14427364:-	tt14427366:-	tt14427372:-	tt14427382:-	tt14427384:-	tt14427390:-	tt14427392:-	tt14427396:-	tt14427400:-	tt14427406:-	tt14427410:-	tt14427414:-	tt14427416:-	tt14427462:-	tt14427464:-	tt14427466:-	tt14427474:-	tt14427476:-	tt14427504:-	tt14427510:-	tt14427514:-	tt14427518:-	tt14427520:-	tt14427526:-	tt14427528:-	tt14427530:-	tt14427532:-	tt14427534:-	tt14427536:-	tt14427538:-	tt14427544:-	tt14427546:-	tt14427562:-	tt14427572:-	tt14427574:-	tt14427580:-	tt14427582:-	tt14427584:-	tt14427588:-	tt14427590:-	tt14427592:-	tt14427596:-	tt14427600:-	tt14427608:-	tt14427612:-	tt14427614:-	tt14427616:-	tt14427618:-	tt14427634:-	tt14427636:-	tt14427640:-	tt14427648:-	tt14427652:-	tt14427660:-	tt14427666:-	tt14427670:-	tt14427674:-	tt14427676:-	tt14427678:-	tt14427684:-	tt14427688:-	tt14427692:-	tt14427696:-	tt14427702:-	tt14427704:-	tt14427708:-	tt14427710:-	tt14427712:-	tt14427748:-	tt14427750:-	tt14427752:-	tt14427754:-	tt14427758:-	tt14427766:-	tt14427770:-	tt14427774:-	tt14427776:-	tt14427788:-	tt14427800:-	tt14427802:-	tt14427806:-	tt14427808:-	tt14427810:-	tt14427814:-	tt14427816:-	tt14427818:-	tt14427822:-	tt14427830:-	tt14427832:-	tt14427834:-	tt14427840:-	tt14427842:-	tt14427900:-	tt14427902:-	tt14427908:-	tt14427910:-	tt14427914:-	tt14427916:-	tt14427918:-	tt14427922:-	tt14427924:-	tt14427930:-	tt14427938:-	tt14427940:-	tt14427942:-	tt14427944:-	tt14427946:-	tt14427956:-	tt14427958:-	tt14427960:-	tt14427966:-	tt14428016:-	tt14430692:-	tt14430694:-	tt14430700:-	tt14430702:-	tt14430704:-	tt14430708:-	tt14430714:-	tt14430716:-	tt14430718:-	tt14430720:-	tt14430726:-	tt14430784:-	tt14430786:-	tt14430788:-	tt14430792:-	tt14430794:-	tt14430796:-	tt14430800:-	tt14430806:-	tt14430812:-	tt14430816:-	tt14430822:-	tt14430824:-	tt14430826:-	tt14430832:-	
