1	tt0755943:-	tt0755947:-	tt0755950:8.3	tt0755951:-	tt0755953:-	tt0755958:-	tt0755959:-	tt0755961:-	tt0755964:-	tt0755968:-	
2	tt0755944:-	tt0755946:-	tt0755948:-	tt0755952:8.8	tt0755955:-	tt0755956:-	tt0755960:-	tt0755963:8.9	tt0755965:8.9	
3	tt0755945:-	tt0755949:-	tt0755954:-	tt0755957:-	tt0755962:-	tt0755966:-	tt0755967:-	tt1103957:-	tt1103960:-	
4	tt1103951:-	tt1103952:-	tt1103953:-	tt1103954:-	tt1103955:-	tt1103956:-	tt1103958:-	tt1103959:-	tt1103961:-	tt1103962:-	tt1104677:-	
