2	tt0609057:-	tt0609058:-	tt0609061:-	tt0609062:-	tt0609065:-	tt1098746:-	
1	tt0609059:-	tt0609060:7.4	tt0609063:-	tt0609064:-	tt1098744:7.2	tt1098745:-	tt1143405:-	
3	tt1143404:-	tt1157087:-	tt1157088:-	tt1157092:-	tt1157093:-	tt1157094:-	tt1157097:-	
4	tt1143406:-	tt1157089:-	tt1157090:-	tt1157091:-	tt1157095:-	tt1157096:-	tt1157098:-	
