2	tt1209006:6.7	tt1209007:6.4	tt1209008:7.8	tt1209018:6.4	tt1209023:6.4	tt1209024:-	tt1209027:5.8	
4	tt1209009:6.8	tt1209012:6.0	tt1209019:-	tt1209022:-	tt1209025:-	tt1209029:-	tt1211638:-	tt1288261:-	tt1288264:-	tt1288266:-	tt1288270:7.2	
3	tt1209010:-	tt1209011:6.1	tt1209015:8.2	tt1209020:-	tt1209026:6.9	tt1209028:-	tt1209030:6.3	tt1288271:-	tt1288272:-	tt1697266:-	
1	tt1209013:6.7	tt1209016:-	tt1288260:-	tt1288262:-	tt1288263:-	tt1288267:-	tt1288269:-	tt1288516:-	tt1697267:-	tt1700206:-	
5	tt1209014:-	tt1209017:-	tt1209021:-	tt1283007:-	tt1288265:-	tt1288268:-	tt1390146:-	
