1	tt0764195:8.1	tt0864270:7.6	tt0871777:7.5	tt0880366:8.0	tt0882628:7.5	tt0884685:7.6	tt0902199:7.5	
2	tt1186597:7.6	tt1186598:7.3	tt1186599:7.3	tt1186600:7.3	tt1186601:7.3	tt1186602:7.6	
3	tt1453848:7.4	tt1458857:7.3	tt1462316:7.3	tt1466293:7.5	tt1470453:7.0	tt1475041:7.2	
4	tt1690857:7.8	tt1692166:7.5	tt1696120:7.1	tt1701875:7.5	tt1706241:7.5	tt1708333:8.3	
