1	tt0893475:6.4	tt0893476:5.9	tt0900764:-	tt0900765:6.7	tt0920339:-	tt0920340:-	
2	tt1090294:-	tt1111858:-	tt1133968:-	tt1150988:-	
3	tt1167925:-	tt1172138:-	tt1175134:-	tt1178497:-	
4	tt1263008:7.4	tt1304645:-	tt1311105:-	tt1314693:-	
5	tt1300073:-	tt1370328:-	tt1379992:-	tt1384522:-	
6	tt1514778:7.0	tt1521156:-	tt1524080:-	tt1528180:-	
7	tt1628604:7.4	tt1637484:-	tt1637485:7.8	tt1637486:-	
8	tt1742589:-	tt1746437:-	tt1747536:-	tt1751887:-	
9	tt1875998:-	tt1884040:-	tt1891476:-	tt1900583:-	
10	tt2164987:-	tt2164989:-	tt2164991:7.6	tt2164993:-	
11	tt2249822:-	tt2249830:7.2	tt2249840:7.0	tt2249852:7.7	
12	tt2628680:-	tt2632178:6.7	tt2632182:6.6	tt2679688:7.1	
