1	tt0681024:7.6	tt0681025:7.1	tt0681026:7.4	tt0681027:7.2	tt0681028:7.9	tt0681029:7.7	tt0681030:7.5	tt0681031:7.7	tt0681032:7.4	tt0681033:7.7	tt0681034:7.3	tt0681035:7.2	tt1094915:7.1	
2	tt0681036:7.8	tt0681037:7.2	tt0681038:7.2	tt0681039:7.6	tt0681040:7.5	tt0681041:7.6	tt0681042:7.1	tt0681043:7.7	tt0681044:7.5	tt0681045:7.3	tt0681046:7.4	tt0681047:7.4	
3	tt0681048:7.5	tt0681049:7.1	tt0681050:7.2	tt0681051:7.4	tt0681052:7.2	tt0681053:7.2	tt0681054:7.4	tt0681055:7.1	tt0681056:7.2	tt0681057:7.4	tt0681058:7.4	tt0681059:7.2	
4	tt0865207:7.4	tt0865208:7.2	tt0868514:7.0	tt0875440:7.0	tt0878538:7.2	tt0886050:7.3	tt0886051:7.3	tt0890574:7.0	tt0890575:7.1	tt0890576:7.4	tt0890577:7.2	tt0890578:7.2	tt0890579:7.0	
17	tt10887530:7.4	tt10944940:6.6	tt10988698:6.7	tt10988706:6.3	tt11068746:6.9	tt11068760:7.3	tt11107988:6.8	tt11513518:6.9	tt11616282:6.8	tt11616288:6.7	tt11616292:6.6	tt11616296:7.2	tt11780692:7.1	tt11799434:7.1	tt11799436:7.0	tt11799438:5.6	tt11799444:5.6	tt9837166:6.7	
5	tt1107688:7.4	tt1107689:7.6	tt1107690:7.3	tt1111705:7.4	tt1114531:7.4	tt1132365:7.2	tt1134749:7.0	tt1135689:7.5	tt1139512:7.1	tt1146089:7.0	tt1146090:7.0	tt1152966:7.4	tt1157238:7.3	
18	tt12367726:7.8	tt12367732:7.2	tt12411062:7.3	tt12484210:7.2	tt12488226:7.3	tt12490098:7.1	tt12490144:8.0	tt12490160:6.9	tt12490190:7.1	tt12490204:6.6	tt12642202:7.0	tt12845738:5.9	tt13702002:6.6	tt13702006:6.4	tt13702012:6.5	tt13858162:6.5	tt13858164:5.9	tt13900202:6.2	
6	tt1321729:7.1	tt1338915:7.4	tt1350313:7.3	tt1353883:7.3	tt1358351:7.2	tt1363422:7.2	tt1368347:7.7	tt1372579:7.2	tt1379140:7.9	tt1383669:7.1	tt1388228:7.8	tt1392930:7.5	
7	tt1562530:7.1	tt1562531:7.6	tt1564697:7.4	tt1578080:7.4	tt1578081:7.5	tt1578082:7.6	tt1581760:7.0	tt1586154:7.5	tt1589569:7.3	tt1593564:7.3	tt1601402:7.2	tt1601403:7.3	tt1605425:7.3	tt1617515:7.3	tt1626742:7.1	tt1631626:7.2	tt1643971:6.5	tt1644870:6.8	
8	tt1720739:7.2	tt1731897:6.9	tt1736175:7.1	tt1740995:6.9	tt1747409:6.9	tt1751471:6.8	tt1766951:6.6	tt1766952:6.8	tt1774087:7.0	tt1784163:7.3	tt1795416:6.8	tt1795417:6.7	tt1798953:6.7	tt1801969:7.5	tt1812399:6.8	tt1817519:7.1	tt8693238:4.4	tt8693242:4.6	
9	tt2048548:7.4	tt2053034:7.5	tt2059015:7.2	tt2066619:7.2	tt2079247:7.2	tt2085472:6.8	tt2091719:7.6	tt2097090:7.0	tt2102968:7.0	tt2110182:6.7	tt2118353:6.9	tt2126018:7.0	tt2126019:7.5	tt2145061:6.2	tt2152457:6.2	tt2159683:7.4	tt2381757:7.1	tt2390839:6.9	
10	tt2400092:8.0	tt2415780:7.1	tt2425504:6.7	tt2437644:7.1	tt2456714:6.9	tt2468288:7.1	tt2481296:6.7	tt2494410:6.7	tt2508578:6.8	tt2531558:6.9	tt2548986:6.8	tt2562714:6.9	tt2575986:6.8	tt2592340:7.0	tt2629376:6.0	tt2629416:5.9	tt2629438:6.7	tt2918052:6.5	
11	tt3144190:7.0	tt3202696:7.2	tt3205226:6.8	tt3220872:7.1	tt3256340:7.2	tt3256342:7.0	tt3271370:7.1	tt3289578:6.9	tt3305174:6.7	tt3322222:6.8	tt3385444:6.7	tt3387376:7.2	tt3405340:7.1	tt3473112:7.1	tt3473126:7.0	tt3473136:7.0	tt3488456:6.1	tt3508668:6.0	
12	tt4085260:7.3	tt4109266:7.0	tt4126640:7.2	tt4166050:7.1	tt4166070:7.2	tt4200208:7.3	tt4218466:7.2	tt4247746:7.1	tt4261946:6.9	tt4306614:7.2	tt4306616:7.2	tt4306640:7.6	tt4341342:7.3	tt4341378:7.2	tt4386494:7.3	tt4386512:7.2	tt4419434:6.4	tt4419456:6.2	
