9	tt0405533:7.5	tt0550355:-	tt0550360:-	tt0550362:-	tt0550391:-	tt0550404:-	
1	tt0550340:-	tt0550369:-	tt0550377:-	tt0550380:-	tt0550384:-	tt0550396:-	
12	tt0550341:-	tt0550348:-	tt0550352:-	tt0550371:-	tt0550409:-	tt0788994:-	
11	tt0550342:-	tt0550344:-	tt0550356:-	tt0550366:-	tt0550374:-	tt0550406:-	
7	tt0550343:-	tt0550351:-	tt0550361:-	tt0550364:-	tt0550382:-	tt0550408:-	
10	tt0550345:-	tt0550354:-	tt0550368:-	tt0550385:-	tt0550402:-	tt0550405:-	
5	tt0550346:-	tt0550347:8.5	tt0550365:-	tt0550372:-	tt0550373:-	tt0550399:-	
8	tt0550349:-	tt0550353:-	tt0550358:-	tt0550367:-	tt0550395:-	tt0550403:-	
6	tt0550350:-	tt0550359:-	tt0550381:-	tt0550386:-	tt0550390:-	tt0550393:-	
3	tt0550357:-	tt0550363:-	tt0550370:-	tt0550376:-	tt0550387:-	tt0550410:-	
2	tt0550375:-	tt0550383:-	tt0550388:-	tt0550397:-	tt0550398:-	tt0550401:-	
4	tt0550378:-	tt0550389:-	tt0550392:-	tt0550394:-	tt0550400:-	tt0550407:-	
13	tt0766652:-	tt0769567:-	tt0778213:-	tt0778214:-	tt0782092:-	tt0788995:-	
