1	tt0703630:6.8	tt0703631:-	tt0703632:-	tt0703633:-	tt0703634:-	tt0703635:-	tt0703642:-	
2	tt0703636:-	tt0703637:-	tt0703638:-	tt0703639:-	tt0703640:-	tt0703641:-	
3	tt0972167:-	tt1112582:-	tt1112583:-	tt1112584:-	tt1112585:-	tt1112586:-	
