5	tt0970806:-	tt0970807:-	tt0970808:-	tt1136396:-	tt1136397:-	tt1136398:-	
1	tt1004680:-	tt1136371:-	tt1136372:-	tt1136373:-	tt1136374:-	tt1136375:-	
\N	tt10307450:-	
2	tt1136376:-	tt1136377:-	tt1136378:-	tt1136379:-	tt1136380:-	tt1136381:-	tt1136382:-	tt1136383:-	
3	tt1136384:-	tt1136385:-	tt1136386:-	tt1136387:-	tt1136388:-	tt1136389:-	tt1140341:-	
4	tt1136390:-	tt1136391:-	tt1136392:-	tt1136393:-	tt1136394:-	tt1136395:-	tt1136399:-	
