1	tt1551231:8.3	tt1553556:8.3	tt1553997:7.9	tt1553998:8.6	tt1553999:8.4	tt1554000:8.8	
2	tt1719300:8.8	tt1719301:8.6	tt1719302:8.6	tt1719303:8.6	tt1719304:8.3	tt1719305:8.9	tt1797694:8.3	
3	tt1934753:7.5	tt2057762:7.9	tt2062896:7.6	tt2062897:7.5	tt2062898:7.4	tt2062899:7.6	tt2062900:8.1	tt2062901:8.3	tt2063395:7.4	
4	tt2167772:7.1	tt2167774:7.5	tt2167778:7.1	tt2167828:7.6	tt2167830:7.0	tt2167832:7.3	tt2167844:7.9	tt2403655:7.3	
5	tt2805132:7.5	tt2952520:7.2	tt2952522:7.4	tt2952524:7.1	tt2952526:7.6	tt2952528:7.3	tt2952530:7.5	tt2952534:6.6	
