\N	tt12127784:-	
1	tt5535628:-	tt5535706:-	tt5535714:-	tt5535822:-	tt5535824:-	tt5535826:-	tt5535828:-	tt5535832:-	tt5535836:-	tt5535838:-	tt5535840:-	tt5535844:-	tt5535850:-	tt5535852:-	tt5535858:-	tt5535860:-	tt5535862:-	tt5535864:-	tt5535866:-	tt5535870:-	tt5535874:-	tt5535876:-	tt5535882:-	tt5535884:-	tt5535886:-	tt5535888:-	tt5535892:-	tt5535894:-	tt5535896:-	tt5535898:-	tt5535900:-	tt5535904:-	
2	tt5535906:-	tt5535910:-	tt5535912:-	tt5535916:-	tt5535920:-	tt5535922:-	tt5535934:-	tt5535938:-	tt5535944:-	tt5535946:-	tt5535948:-	tt5535954:-	tt5535960:-	tt5535962:-	tt5535966:-	tt5535974:-	tt5535976:-	tt5535986:-	tt5535990:-	tt5535992:-	tt5535996:-	tt5535998:-	tt5536006:-	tt5536010:-	tt5536016:-	tt5536018:-	tt5536020:-	tt5536026:-	tt5536034:-	tt5536036:-	tt5536042:-	tt5536046:-	tt5536050:-	tt5536054:-	
3	tt5536110:-	tt5536112:-	tt5536116:-	tt5536120:-	tt5536126:-	tt5536128:-	tt5536132:-	tt5536134:-	tt5536138:-	tt5536140:-	tt5536142:-	tt5536144:-	tt5536146:-	tt5536148:-	tt5536150:-	tt5536154:-	tt5536158:-	tt5536162:-	tt5536164:-	tt5536170:-	tt5536172:-	tt5536176:-	tt5536178:-	tt5536182:-	tt5536186:-	tt5536190:-	tt5536198:-	tt5536200:-	tt5536202:-	tt5536204:-	tt5536214:-	
4	tt5536604:-	tt5536606:-	tt5536608:-	tt5536612:-	tt5536616:-	tt5536620:-	tt5536624:-	tt5536628:-	tt5536634:-	tt5536640:-	tt5536644:-	tt5536646:-	tt5536650:-	tt5536652:-	tt5536654:-	tt5536658:-	tt5536664:-	tt5536666:-	tt5536668:-	tt5536670:-	tt5536676:-	tt5536684:-	tt5536686:-	tt5536696:-	tt5536700:-	tt5536706:-	tt5536708:-	tt5536714:-	tt5536720:-	tt5536722:-	tt5536724:-	tt5536730:-	tt5536738:-	tt5536740:-	tt5536742:-	tt5536744:-	tt5536750:-	
5	tt5536752:-	tt5536756:-	tt5536758:-	tt5536762:-	tt5536766:-	tt5536768:-	tt5536772:-	tt5536780:-	tt5536782:-	tt5536784:-	tt5536786:-	tt5536792:-	tt5536794:-	tt5536798:-	tt5536800:-	tt5536806:-	tt5536808:-	tt5536814:-	tt5536820:-	tt5536826:-	tt5536828:-	tt5536830:-	tt5536832:-	tt5536836:-	tt5536840:-	tt5536842:-	tt5553088:-	tt5571100:-	tt5590314:-	tt5609536:-	tt5628944:-	
