1	tt1443936:-	tt1443937:-	tt1443938:-	tt1443939:-	tt1443940:-	tt1443941:-	tt1443942:-	tt1443943:-	tt1443944:-	tt1443945:-	tt1443946:-	tt1443947:-	tt1443948:-	tt1443949:-	tt1443950:-	tt1443951:-	tt1443952:-	tt1443953:-	tt1443954:-	tt1443955:-	tt1443956:-	tt1443957:-	tt1443958:-	tt1443959:-	tt1443960:-	tt1443961:-	
2	tt1653761:-	tt1879417:-	tt1879418:-	tt1879419:-	tt1879420:-	tt1950634:-	tt1952275:-	tt1952276:-	tt1952277:-	tt1967024:-	tt1967025:-	tt1967026:-	tt1967027:-	tt1967028:-	tt1975460:-	tt1979721:-	tt1980474:-	tt1980475:-	tt1980476:-	tt1980477:-	tt1980478:-	tt1980479:-	tt1980480:-	tt1980481:-	tt2087187:-	tt2163911:-	
3	tt1842675:-	tt1842676:-	tt1843499:-	tt1846091:-	tt1847114:-	tt1847115:-	tt1847116:-	tt1853146:-	tt1853147:-	tt1853763:-	tt1853764:-	tt1853765:-	tt1853766:-	tt1859008:-	
5	tt3748398:-	tt4100688:-	tt4100736:-	tt4103154:-	tt4105572:-	tt4105574:-	tt4105576:-	tt4105578:-	tt4105580:-	tt4105582:-	tt4112822:-	tt4112828:-	tt4112834:-	tt4112876:-	tt4112878:-	tt4112880:-	tt4112882:-	tt4112884:-	tt4112886:-	tt4112888:-	tt4112890:-	tt4112892:-	tt4112894:-	tt4112900:-	tt4112902:-	tt4112904:-	tt6611736:-	tt6642770:-	
4	tt3984248:-	tt3984250:-	tt3998244:-	tt3998248:-	tt3998250:-	tt3998252:-	tt4002028:-	tt4002034:-	tt4002040:-	tt4002042:-	tt4002044:-	tt4002048:-	tt4002050:-	tt4002052:-	tt4002054:-	tt4188984:-	tt4188986:-	tt4188988:-	tt4188990:-	tt4188992:-	tt4188994:-	tt4188996:-	tt4188998:-	tt4189000:-	tt4189002:-	tt4189004:-	
