1	tt1155113:7.1	tt1157001:7.4	tt1163476:7.7	tt1163477:7.7	tt1163478:7.6	tt1163479:7.8	
2	tt1526800:8.5	tt1533263:8.5	tt1539372:8.7	tt1540205:8.3	tt1540514:8.2	tt1553465:8.5	tt1557963:9.0	
3	tt1733354:8.5	tt1735555:8.4	tt1736388:8.6	tt1749525:8.6	tt1749526:8.7	tt1792229:8.6	tt1792230:8.8	
