1	tt1526662:-	tt1531983:-	tt1591694:-	tt1632751:-	tt1692539:-	tt1707701:-	tt1810899:-	tt1931691:-	tt1978660:-	tt1978661:-	tt1978662:-	tt1978663:-	tt1978664:-	tt1978665:-	tt1978667:-	tt1978668:-	tt1978669:-	tt1978670:-	tt1978671:-	tt1978672:-	tt1978673:-	tt1978674:-	tt1978675:-	tt1978676:-	tt1978677:-	tt1978678:-	tt1978679:-	tt1978680:-	tt1978681:-	tt1978682:-	tt1978683:-	tt1978684:-	tt1978685:-	tt1978686:-	tt1978687:-	tt1978688:-	tt1978689:-	tt1978690:-	tt1978691:-	tt1978692:-	tt1978693:-	
2	tt1656907:-	tt1683545:-	tt1683546:-	tt1683547:-	tt1683548:-	tt1683549:-	tt1683550:-	tt1683551:-	tt1684938:-	tt1686497:-	tt1686929:-	tt1687318:-	tt1688499:-	tt1688749:-	tt1690569:-	tt1692537:-	tt1692538:-	tt1737866:-	tt1738435:-	tt1739378:-	tt1742400:-	tt1744019:-	tt1744020:-	tt1744021:-	tt1748827:-	tt1748828:-	tt1906655:-	tt1978694:-	tt1978695:-	tt1978696:-	tt1978697:-	tt1978698:-	tt1978699:-	tt1978700:-	tt1978701:-	tt1978702:-	tt1978703:-	tt1978704:-	tt1978705:-	tt1978706:-	
\N	tt1664077:-	tt1763404:-	tt1884554:-	tt1885522:-	tt1886832:-	tt1887998:-	tt1888793:-	tt1892093:-	tt1893511:-	tt1894676:-	tt1895736:-	tt1896929:-	tt1914529:-	tt1914530:-	tt1914531:-	tt1914532:-	tt1914533:-	
3	tt1849265:-	tt1864651:9.8	tt1878039:9.8	tt1928420:-	tt2089924:-	tt2089925:-	tt2089926:-	tt2089927:-	tt2089928:-	tt2089929:-	tt2089930:-	tt2089931:-	tt2089932:-	tt2089933:-	tt2089934:-	tt2089935:-	tt2089936:-	tt2089937:-	tt2089938:-	tt2089939:-	tt2089940:-	tt2089941:-	tt2089942:-	tt2089943:-	tt2089944:-	tt2089945:-	tt2089946:-	tt2089947:-	tt2089948:-	tt2089949:-	tt2089950:-	tt2089951:-	tt2089952:-	tt2089953:-	tt2089954:-	tt2089955:-	tt2089956:-	tt2089957:-	tt2089958:-	tt2089959:-	
