10	tt0608669:8.2	tt0608680:-	tt1145244:7.3	tt1145247:7.2	tt1145248:6.8	tt1145251:8.0	
5	tt0608670:6.9	tt1144667:7.4	tt1144668:8.5	tt1144669:6.7	tt1144670:8.0	tt1144671:6.4	
1	tt0608671:6.8	tt0608682:6.3	tt0608689:6.2	tt0608693:7.4	tt0805763:6.9	tt0841622:7.1	
11	tt0608672:6.4	tt0608684:-	tt0608688:-	tt0608692:-	tt1109056:-	tt1109057:6.4	
7	tt0608673:8.0	tt1145241:6.7	tt1145242:-	tt1145249:6.6	tt1145252:6.8	tt1145367:7.0	
6	tt0608674:7.6	tt0608675:6.3	tt0608686:8.0	tt0608694:7.5	tt1109058:6.8	tt1109059:6.5	
4	tt0608676:7.1	tt0608677:7.0	tt0887190:8.1	tt1144664:6.4	tt1144665:7.0	tt1144666:6.9	
12	tt0608678:6.4	tt0608691:6.0	tt0608697:7.0	tt1145243:7.6	tt1145366:6.8	tt1145373:-	
14	tt0608679:8.1	tt0608696:-	tt1066786:7.6	tt1145693:6.4	tt1145696:-	tt1145697:-	
2	tt0608683:6.8	tt0608685:6.9	tt0841624:7.6	tt0841625:6.5	tt0841627:7.4	tt0841628:8.6	
13	tt0608690:-	tt0608695:-	tt1145691:7.2	tt1145692:-	tt1145694:-	tt1145695:-	
3	tt0841620:6.7	tt0841621:7.3	tt0841623:7.6	tt0841626:7.9	tt0841629:6.1	tt0841630:7.6	
8	tt1145245:6.5	tt1145246:6.7	tt1145253:7.6	tt1145365:7.2	tt1145374:-	tt1145375:-	
9	tt1145250:7.2	tt1145368:-	tt1145369:7.4	tt1145370:8.6	tt1145371:-	tt1145372:8.0	
