1	tt0647712:-	tt0647713:-	tt0647714:-	tt0647715:-	tt0647716:-	tt0647717:-	tt0647718:-	tt0647719:-	tt0647720:-	tt0647721:-	tt0647722:-	tt0647723:-	tt0647724:-	tt0647725:-	tt0647726:-	tt0647727:-	tt0647728:-	tt0647729:-	tt0647730:-	tt0799222:-	
10	tt0647731:-	tt0647732:-	tt0647733:-	tt0767094:-	tt0783121:-	tt0799223:-	tt0799224:-	tt0799225:-	tt0799226:-	tt0799227:-	tt0799228:-	tt0799229:-	
2	tt0647734:-	tt0647735:-	tt0647736:-	tt0647737:-	tt0647738:-	tt0647739:-	tt0799240:-	tt0799247:-	tt0799248:-	tt0799249:-	
3	tt0647740:-	tt0647741:-	tt0647742:-	tt0647743:-	tt0647744:-	tt0647745:-	tt0647746:-	tt0647747:-	tt0647748:-	tt0647749:-	tt0799241:-	tt0799250:-	
4	tt0647750:-	tt0647751:-	tt0647752:-	tt0647753:-	tt0647754:-	tt0647755:-	tt0647756:-	tt0647757:-	tt0647758:-	tt0647759:-	tt0647760:-	tt0647761:-	tt0647762:-	
5	tt0647763:-	tt0647764:-	tt0647765:-	tt0647766:-	tt0647767:-	tt0647768:-	tt0647769:-	tt0647770:-	tt0647771:-	tt0647772:-	tt0647773:-	tt0647774:-	
6	tt0647775:-	tt0647776:-	tt0647777:-	tt0647778:-	tt0647779:-	tt0647780:-	tt0647781:-	tt0647782:-	tt0647783:-	tt0647784:-	tt0767095:-	tt0799242:-	tt0799243:-	tt0799244:-	
7	tt0647785:-	tt0647786:-	tt0647787:-	tt0647788:-	tt0647789:-	tt0647790:-	tt0647791:-	tt0647792:-	tt0647793:-	tt0647794:-	tt0793941:-	tt0802768:-	
8	tt0647795:-	tt0647796:-	tt0647797:-	tt0647798:-	tt0647799:-	tt0647800:-	tt0647801:-	tt0647802:-	tt0647803:-	tt0799245:-	tt0799246:-	tt0799251:-	
9	tt0647804:-	tt0647805:-	tt0647806:-	tt0647807:-	tt0647808:-	tt0647809:-	tt0647810:-	tt0647811:-	tt0647812:-	tt0647813:-	tt0647814:-	tt0647815:-	tt0799252:-	
11	tt0799230:-	tt0799231:-	tt0799232:-	tt0799233:-	tt0799234:-	tt0799235:-	tt0799236:-	tt0799237:-	tt0799238:-	tt0799239:-	tt0839190:-	tt0853894:-	
