1	tt0279893:7.9	tt0617127:7.6	tt0617130:7.5	tt0617134:7.3	tt0617142:8.0	
4	tt0617125:8.3	tt0617129:8.0	tt0617135:7.9	tt0617138:8.2	tt0617141:8.0	tt0617143:8.5	
2	tt0617126:8.0	tt0617132:7.9	tt0617139:7.9	tt0617140:7.9	
3	tt0617128:8.0	tt0617131:8.3	tt0617133:8.7	tt0617136:8.7	
5	tt0617137:7.6	tt0760835:8.3	tt0774343:7.7	tt0774344:7.5	tt0774345:7.8	tt0774346:7.6	
6	tt0937749:7.7	tt0941662:7.8	tt0941663:7.6	tt0941664:7.3	
