2	tt0640195:8.2	tt0640196:8.5	tt0640197:7.8	tt0640199:8.3	tt0640202:-	tt0640205:7.7	tt0640210:7.2	tt0640211:7.5	tt0640221:7.6	tt0640228:7.6	tt0640231:8.8	tt0640235:7.7	tt0640236:8.3	tt0640242:7.8	tt0640252:7.8	tt0640255:7.6	tt0640266:7.4	tt0640269:7.6	tt0640274:8.0	tt0640275:8.0	tt0640277:8.0	tt0640279:7.6	tt1087116:8.0	
4	tt0640198:-	tt0640208:-	tt0640209:-	tt0640213:-	tt0640216:-	tt0640219:-	tt0640224:8.8	tt0640227:8.2	tt0640229:8.0	tt0640241:9.3	tt0640243:8.1	tt0640249:-	tt0640254:8.0	tt0640257:-	tt0640260:-	tt0640263:7.6	tt0640271:-	tt0640272:-	tt0640273:-	tt0640280:-	tt0640281:-	tt0640282:6.0	
3	tt0640200:-	tt0640201:-	tt0640203:7.5	tt0640204:-	tt0640207:6.6	tt0640214:8.6	tt0640217:7.4	tt0640220:8.6	tt0640225:7.3	tt0640230:-	tt0640239:8.0	tt0640240:6.1	tt0640244:7.8	tt0640246:-	tt0640250:7.8	tt0640256:6.5	tt0640261:9.0	tt0640262:6.7	tt0640267:-	tt0640268:-	tt0640270:-	tt0640276:7.7	
1	tt0640206:8.6	tt0640212:6.8	tt0640215:8.3	tt0640218:7.7	tt0640222:8.0	tt0640223:8.2	tt0640226:8.0	tt0640232:7.6	tt0640233:9.2	tt0640234:8.8	tt0640237:-	tt0640238:8.8	tt0640245:8.5	tt0640247:8.8	tt0640248:7.5	tt0640251:8.6	tt0640253:7.6	tt0640258:7.5	tt0640259:9.2	tt0640264:8.2	tt0640265:8.0	tt0640278:-	
