4	tt11744764:-	tt12610988:-	tt12618728:-	
1	tt5621668:5.5	tt5621674:-	tt5628016:-	tt5628022:-	tt5628034:-	tt5628038:-	tt5636322:-	tt5636330:-	tt5636338:-	tt5636344:-	tt5922402:-	
2	tt5636348:-	tt5636350:-	tt5636360:-	tt5636364:-	tt5636376:-	tt5636392:-	tt5636434:-	tt5636440:-	tt5636446:-	tt5636448:-	
3	tt5636450:-	tt5665230:-	tt5665242:-	tt6220356:-	tt6554946:-	tt6555538:-	tt6690430:-	tt6690438:-	tt6690454:-	tt7551110:-	
