1	tt12411796:-	tt12411856:-	tt12411874:-	tt12411892:-	tt12411910:-	tt12411930:-	tt12411936:-	tt12411954:-	tt12411972:-	tt12411992:-	
2	tt12412532:-	tt12412572:-	tt12415468:-	tt12415484:-	tt12415492:-	tt12415512:-	tt12415534:-	tt12415540:-	tt12415556:-	tt12458260:-	
3	tt12415574:-	tt12415576:-	tt12415578:-	tt12415580:-	tt12415582:-	tt12415584:-	tt12415592:-	tt12415594:-	tt12415596:-	tt12415598:-	tt12415600:-	
4	tt12415610:-	tt12415612:-	tt12415616:-	tt12415632:-	tt12415636:-	tt12415638:-	tt12415640:-	tt12415642:-	tt12415646:-	tt12415650:-	tt12415656:-	
