\N	tt11051368:-	tt13319446:-	tt3979708:7.9	tt3979712:7.0	tt3979714:7.7	
11	tt11052124:7.8	tt11057664:7.4	tt11064180:8.3	tt11073066:8.4	tt11079622:8.2	tt11090568:7.2	tt11102124:7.8	tt11111876:7.7	tt11115092:7.3	tt11125710:8.4	tt11137726:7.6	tt11146342:7.9	tt11150574:7.8	tt11160696:8.0	tt11170712:8.0	tt11183110:8.0	tt11186688:7.3	tt11197232:7.8	tt11202456:7.5	tt11207626:7.7	
12	tt13242614:8.8	tt13298624:8.4	tt13304148:7.7	tt13357858:8.2	
1	tt1744939:7.6	tt1744940:7.3	tt1744944:6.6	tt1744945:6.7	tt1744946:6.8	tt1744950:7.1	tt1744953:7.0	tt1744957:7.4	tt1744959:7.6	tt1744961:7.8	tt1744964:7.5	tt1744968:7.1	tt1744969:7.4	tt1744990:7.2	tt1744991:7.8	tt1744996:7.0	tt1745005:7.0	tt1745006:7.1	tt1745009:7.5	tt1745010:7.3	tt1745011:7.4	tt1745013:7.2	tt1745018:7.6	tt1745019:6.8	tt1745028:7.4	tt1745030:7.2	tt1745032:6.6	tt1745033:7.4	tt1745038:7.7	tt1745039:7.3	tt1745040:7.6	
3	tt1744941:8.0	tt1744942:7.9	tt1744943:8.0	tt1744947:7.3	tt1744948:7.0	tt1744949:7.7	tt1744951:8.1	tt1744952:7.1	tt1744956:7.7	tt1744958:8.0	tt1744965:7.6	tt1744967:7.8	tt1744972:7.8	tt1744992:6.9	tt1744993:7.9	tt1744995:8.0	tt1744998:8.2	tt1745001:7.6	tt1745002:7.7	tt1745008:7.8	tt1745012:7.8	tt1745014:7.3	tt1745015:7.6	tt1745022:7.8	tt1745023:7.0	tt1745025:7.3	tt1745026:7.5	tt1745027:7.2	tt1745031:7.6	tt1745034:7.9	tt1745043:7.9	
2	tt1744954:7.2	tt1744955:7.0	tt1744971:6.7	tt1744973:6.7	tt1744974:6.6	tt1744975:7.2	tt1744976:6.8	tt1744977:6.7	tt1744978:6.9	tt1744979:6.5	tt1744980:6.7	tt1744981:6.7	tt1744982:6.5	tt1744983:6.9	tt1744984:6.9	tt1744985:6.6	tt1744986:7.0	tt1744987:6.8	tt1744988:6.8	tt1744989:6.8	tt1744997:7.0	tt1744999:7.2	tt1745003:7.0	tt1745004:6.9	tt1745007:7.0	tt1745020:6.8	tt1745021:6.6	tt1745024:6.6	tt1745041:6.2	tt6567114:6.1	
4	tt1744960:7.8	tt1744962:7.5	tt1744963:7.4	tt1744966:7.9	tt1744970:7.4	tt1744994:7.7	tt1745000:7.7	tt1745016:7.3	tt1745017:7.6	tt1745029:7.4	tt1745035:7.2	tt1745036:7.5	tt1745037:7.8	tt1745042:7.0	tt1746003:7.3	tt1746297:7.6	tt1746808:7.2	tt1748980:7.4	tt1748981:6.7	tt1748982:7.7	tt1748983:7.1	tt1748984:7.1	tt1748985:7.6	tt1748986:7.0	tt1748987:7.6	tt1755112:7.3	tt1755113:7.0	tt1757035:6.7	tt1759840:7.2	tt1760519:6.9	tt1760520:7.5	
5	tt2074573:8.1	tt2074574:8.1	tt2076449:7.8	tt2078027:7.9	tt2078028:7.8	tt2078029:8.1	tt2079725:7.8	tt2080550:6.8	tt2080551:8.0	tt2080552:7.8	tt2081665:7.5	tt2082596:7.5	tt2083470:7.3	tt2085125:7.0	tt2086103:7.2	tt2087039:8.0	tt2088200:8.2	tt2089075:7.7	tt2089076:7.4	tt2090771:7.6	tt2091529:7.7	tt2092078:8.2	tt2092536:8.1	tt2092537:8.0	tt2093457:7.8	tt2094253:7.5	tt2095124:7.7	tt2096783:7.6	tt2096784:7.4	tt2097425:7.4	tt2099091:6.8	
6	tt2427086:7.5	tt2431644:6.4	tt2435842:7.3	tt2440034:7.6	tt2444452:7.5	tt2448626:7.7	tt2452996:7.0	tt2458488:7.0	tt2461626:7.7	tt2467292:7.3	tt2469272:7.6	tt2474096:7.3	tt2479172:6.8	tt2481908:6.9	tt2485186:7.2	tt2489224:7.1	
7	tt3211214:8.0	tt3231044:7.3	tt3233576:7.4	tt3236898:7.6	tt3239214:7.7	tt3239818:7.4	tt3242886:7.2	tt3246372:6.8	tt3249330:7.2	tt3252408:7.1	tt3254702:7.1	tt3256360:6.6	tt3257180:6.1	tt3260316:6.5	tt3263494:5.9	tt3265742:6.3	tt3268002:6.3	tt3270524:5.6	tt3274644:6.1	tt3276688:7.3	tt3278558:7.8	tt3279796:7.5	tt3282920:7.1	tt3285804:7.5	tt3286864:7.2	tt3291576:7.9	tt3293394:7.4	tt3295100:7.0	tt3296886:7.1	tt3299934:6.9	tt3302074:8.0	
8	tt4058970:7.5	tt4082318:7.4	tt4084756:7.5	tt4086880:7.3	tt4089158:7.3	tt4093240:7.0	tt4096922:7.9	tt4103260:6.9	tt4105956:7.2	tt4108944:6.6	tt4110948:6.8	tt4112806:7.3	tt4115222:7.8	tt4117912:6.4	tt4118880:7.5	tt4123200:7.1	tt4123980:7.4	tt4128206:6.7	tt4130008:6.7	tt4132344:6.4	tt4135476:7.4	tt4137676:7.0	tt4142306:6.6	tt4144828:6.8	tt4146818:7.5	tt4148722:7.1	tt4150886:6.9	tt4154536:6.3	tt4157158:6.9	tt4160048:6.9	tt4162392:6.8	
9	tt5051818:5.9	tt5077574:7.0	tt5080662:6.9	tt5084212:6.7	tt5084366:7.5	tt5087120:7.0	tt5087122:6.9	tt5087124:6.8	tt5087126:6.5	tt5087128:7.4	tt5087130:6.5	tt5087136:7.5	tt5087138:6.6	tt5087140:7.2	tt5087142:7.2	tt5087144:6.9	tt5087146:6.9	tt5087388:7.6	tt5087390:5.9	tt5087392:5.9	tt5087396:7.9	tt5087398:7.6	tt5087400:7.2	tt5087402:7.2	tt5087404:6.7	tt5087406:6.9	tt5090914:7.8	tt5093708:6.1	tt5095128:6.8	tt5097496:7.7	tt5103918:6.4	
10	tt5813118:7.5	tt6116550:6.8	tt6118422:7.3	tt6122432:8.0	tt6124796:7.4	tt6124804:7.4	tt6124808:8.4	tt6124812:6.2	tt6124816:7.0	tt6124820:5.9	tt6124822:7.9	tt6124826:6.8	tt6124828:7.0	tt6124832:7.0	tt6124836:6.9	tt6124842:7.5	tt6124844:6.9	tt6124846:7.3	tt6124854:7.5	tt6124858:7.0	tt6124862:6.9	tt6124868:6.7	tt6124878:7.5	tt6124880:7.3	tt6124882:7.7	tt6124886:7.2	tt6125782:7.1	tt6127910:7.4	tt6127916:7.3	tt6127918:7.5	tt6129052:6.8	
