1	tt0280263:7.5	tt0317718:6.9	tt0317719:7.3	tt0319563:7.2	tt0319564:7.5	
2	tt0359476:7.1	tt0375840:7.4	tt0395178:7.4	tt0395179:7.5	
3	tt0401519:7.5	tt0401520:7.5	tt0403168:7.3	tt0419846:7.5	
4	tt0430230:7.3	tt0438108:7.3	tt0442678:7.6	tt0453498:7.1	
5	tt0808321:7.5	tt0834511:7.5	tt0841024:7.7	tt0870978:7.5	
6	tt0960778:7.2	tt1027447:7.9	
