1	tt0752086:7.0	tt0952598:6.9	tt0952599:6.7	tt0952603:6.9	tt0952604:7.9	tt0952615:6.5	tt0952619:9.0	
3	tt0952592:7.0	tt0952594:7.0	tt0952597:7.1	tt0952601:7.5	tt0952608:7.8	tt0952614:6.5	tt0952620:6.5	tt0952621:9.4	
4	tt0952593:7.6	tt0952595:6.8	tt0952596:7.5	tt0952600:7.7	tt0952602:7.7	tt0952610:6.6	tt0952611:6.8	tt0952612:6.6	
2	tt0952605:7.2	tt0952606:7.1	tt0952607:6.8	tt0952609:8.1	tt0952613:7.7	tt0952616:6.8	tt0952617:7.5	tt0952618:7.3	
