1	tt1057463:6.6	tt1057464:7.0	tt1057465:6.9	tt1057466:6.8	tt1057467:6.8	tt1057468:6.9	
13	tt10650850:8.0	tt10650856:8.6	tt10650906:7.3	tt10651254:7.5	tt10651274:7.9	tt10651280:7.2	tt10651286:6.2	tt10651296:6.6	tt10651302:6.4	tt10651314:7.6	tt11413522:7.8	tt11792732:7.7	
2	tt1260924:7.3	tt1264064:7.3	tt1268134:7.1	tt1272844:7.0	tt1276366:6.9	tt1279029:6.8	tt1283256:6.8	tt1286114:7.1	tt1296138:7.0	
14	tt13566856:7.5	tt13623192:7.3	tt13663950:7.6	tt13702490:7.7	tt13702506:7.6	tt13702518:7.4	tt13702526:7.2	tt13702546:7.2	tt13702566:7.4	tt13702580:6.8	tt13702598:7.1	tt14481300:6.6	
3	tt1495654:7.3	tt1495655:7.2	tt1506312:7.3	tt1506313:7.2	tt1507238:7.3	tt1512493:7.3	tt1514254:7.4	tt1520825:7.3	tt1592731:7.0	
4	tt1696170:7.4	tt1700256:7.3	tt1704136:8.1	tt1713424:7.5	tt1713937:7.2	tt1716350:7.5	tt1721455:7.1	tt1723234:7.5	tt1724537:7.8	
5	tt2048668:7.9	tt2053285:7.7	tt2059163:7.8	tt2066799:7.5	tt2079454:7.5	tt2085716:7.5	tt2091849:7.5	tt2097205:7.5	tt2123870:7.5	
6	tt2161946:7.6	tt2170512:7.1	tt2231842:7.8	tt2361097:7.2	tt2371251:7.5	tt2382887:7.2	tt2391809:7.7	tt2398111:7.4	tt5010894:7.2	
7	tt2898612:7.4	tt2910808:7.5	tt2939164:7.4	tt2939194:7.7	tt2965130:7.3	tt2982764:7.8	tt2998834:7.6	tt3014524:7.3	tt3170946:7.5	tt3526882:7.3	
8	tt4045898:7.8	tt4057614:7.4	tt4067244:7.4	tt4085056:7.8	tt4109176:7.6	tt4126232:7.6	tt4146212:7.4	tt4344584:7.5	tt4357412:7.6	tt5057146:7.2	
9	tt4926536:7.7	tt4926548:7.5	tt4972938:7.8	tt4972974:7.3	tt4996840:7.3	tt5017662:7.5	tt5078648:7.6	tt5292228:7.4	tt5292230:7.7	tt5292234:7.2	
10	tt5945786:7.4	tt5945976:7.4	tt5947638:7.5	tt5947656:6.9	tt5947662:7.6	tt5947666:8.2	tt5947674:7.6	tt5947684:7.1	tt5947692:7.4	tt6210612:7.2	
11	tt7630814:7.3	tt7630822:7.1	tt7645060:7.8	tt7663858:7.6	tt7686032:7.2	tt7689488:7.3	tt7689492:7.3	tt7689500:7.3	tt7754818:7.0	tt7884656:7.4	
12	tt8652184:8.6	tt8680456:7.7	tt8680464:7.8	tt8680478:7.7	tt8680890:7.6	tt8680900:8.2	tt8680934:7.9	tt8680944:7.7	tt8680954:7.7	tt9349034:7.4	tt9646098:7.6	
\N	tt9038846:-	
