13	tt10161394:7.6	tt10187828:7.4	tt10246298:-	tt10246304:-	tt10314168:-	tt10314176:-	
\N	tt10410106:-	tt6813528:-	tt6949284:-	tt6952792:-	tt6960370:-	
1	tt1050816:-	tt1050817:-	tt1050818:-	tt1052103:-	tt1052104:-	tt1052105:-	tt1052106:-	tt1052506:-	tt1056289:-	
2	tt1222059:-	tt1222060:-	tt1224629:-	tt1227583:-	tt1231322:-	tt1236538:-	tt1236539:-	tt1238141:-	tt1238142:-	tt1240072:-	tt1240073:-	tt1240572:-	tt1240573:-	tt1240574:-	
3	tt1415327:-	tt1415328:-	tt1419136:-	tt1426449:-	tt1429178:-	tt1436076:-	tt1438648:-	tt1438649:-	tt1438650:-	tt1438651:-	tt1445810:-	tt1445811:-	tt1446219:-	tt1446220:-	tt1633420:-	tt1633421:-	tt1633422:-	
4	tt1633419:-	tt1643309:-	tt1643310:-	tt1647819:-	tt1651533:-	tt1656229:-	tt1659776:-	tt1667919:-	tt1667920:-	tt1667921:-	tt1667922:-	tt1667923:-	tt1667924:-	tt1668922:-	tt1668923:-	tt1668924:-	tt1668925:-	
5	tt1889590:-	tt1905256:-	tt1910737:-	tt1922892:-	tt1929541:-	tt1936084:-	tt1944013:-	tt1951689:-	tt1951690:-	tt1951691:-	tt1951692:-	tt1951693:-	tt1955319:-	
6	tt2324151:-	tt2324153:-	tt2340217:-	tt2350031:-	tt2363671:-	tt2376097:-	tt2386537:-	tt2386539:-	tt2394177:-	tt2395671:-	tt2397661:-	tt2398367:-	tt2398369:-	
7	tt2843620:-	tt2843622:-	tt2857744:-	tt2880536:-	tt2897810:-	tt2916386:-	tt2931892:-	tt2945464:-	tt2947126:-	tt2955472:-	tt2955486:-	tt2955492:-	tt2955504:-	
9	tt3648618:-	tt3680024:-	tt4679262:-	tt4679352:-	tt4679368:-	tt4697708:-	tt4708686:-	tt4766868:-	tt4767278:-	tt4770452:-	tt4772276:-	tt4773186:-	tt4773478:-	
8	tt3680030:-	tt3717972:-	tt3717974:-	tt3724992:-	tt3740426:-	tt3757210:-	tt3759674:-	tt3762096:-	tt3764460:-	tt3770466:-	tt3788274:-	tt4656024:-	tt4656028:-	
10	tt5604494:-	tt5604496:-	tt5626134:-	tt5667326:-	tt5719180:-	tt5719182:-	tt5719190:-	tt5755060:-	tt5804006:-	tt5805940:-	tt5806774:-	tt5808804:-	tt5816064:-	
11	tt6786282:-	tt6838268:-	tt6838282:-	
12	tt8344534:-	tt8367572:-	tt8368424:-	tt8368442:-	tt8368448:-	tt8457104:-	tt8476104:-	tt8479038:-	tt8484140:-	tt8489034:-	tt8493930:-	tt8499358:-	tt8929810:-	
