1	tt2150017:8.4	tt2198738:9.3	tt2198968:8.9	tt2315621:8.3	tt2353305:8.9	tt2353307:8.2	tt2353309:8.5	tt2353311:8.7	tt2353313:8.9	tt2353315:8.9	tt2353317:7.9	tt2388409:8.4	
2	tt2268096:7.9	tt2268100:7.8	tt2268102:7.7	tt2268104:7.7	tt2268108:7.7	tt2268110:8.7	tt2268112:8.4	tt2268114:8.0	tt2268116:8.3	tt2268118:9.3	tt2268120:8.1	tt2268122:8.4	tt2268124:8.7	tt2268126:9.6	
3	tt3550190:8.5	tt3797652:8.6	tt3797654:8.6	tt3797656:8.3	tt3797658:8.6	tt3797660:8.6	tt3859534:8.2	tt3865208:8.9	tt3865210:8.8	tt3865212:9.0	tt3865214:9.3	tt3865216:9.4	tt3865220:9.6	
4	tt4030586:8.7	tt4030588:9.3	tt4030590:8.5	tt4030596:8.7	tt4108622:8.5	tt4122656:8.5	tt4122662:8.3	tt4122672:6.0	tt4122678:9.0	tt4122680:8.6	tt4122688:8.7	tt4122690:9.2	tt4122708:9.0	
