3	tt10344286:-	tt10344294:-	tt10344298:-	tt10374390:-	tt10374396:-	tt8772990:8.2	
1	tt5935016:6.8	tt5935054:7.2	tt5935084:7.7	tt5935102:6.9	tt5935108:6.6	
2	tt6440394:7.2	tt6440396:7.6	tt6440398:7.3	tt6440402:7.5	tt9857218:-	
