5	tt10033642:6.6	tt6551474:7.6	tt9625450:7.4	tt9625460:7.2	tt9870006:7.8	tt9870014:7.5	tt9870018:7.6	tt9870020:7.8	tt9870030:7.5	tt9870036:8.1	tt9870040:7.8	
6	tt10712610:-	tt10737926:7.5	tt10838360:6.7	tt10838376:6.5	tt10894636:7.2	tt10918754:7.3	tt10921980:6.8	tt10947898:6.2	tt10980318:-	
3	tt11228786:-	tt11228800:-	tt6551470:7.1	tt6581166:7.7	tt6711486:8.1	tt6711490:8.3	tt6711494:8.2	tt6711498:7.8	tt6829478:8.0	tt6829484:8.1	tt6829490:8.0	tt6829496:8.3	
1	tt5640898:7.1	tt5640902:7.7	tt5640908:7.7	tt5640922:7.9	tt5640928:7.7	tt5640934:7.5	tt5640936:7.8	tt5640942:7.7	tt5862434:7.5	tt5974496:7.1	tt6021352:8.0	tt6038496:7.8	tt6121582:7.2	tt6829520:7.7	tt6829522:8.0	
2	tt6230630:7.5	tt6230632:7.8	tt6230640:7.6	tt6230644:7.6	tt6230650:7.7	tt6239860:8.2	tt6452614:7.9	tt6647298:7.9	tt6647308:7.2	tt6691120:7.8	tt6829510:8.1	tt6829514:7.5	tt6829516:7.9	tt6995658:7.6	
4	tt6551472:6.9	tt7948078:7.0	tt7948960:7.4	tt7952568:8.1	tt7952576:7.1	tt7952604:7.4	tt7952612:7.0	tt8041070:7.0	tt8150154:7.3	tt8150162:7.0	tt8150172:6.9	tt8150178:6.8	tt8175790:8.1	tt8219348:-	
