1	tt1643329:8.0	tt1643330:8.1	tt1643331:7.8	tt1643332:7.1	tt1647012:7.4	tt1647013:7.5	tt1647014:7.7	
2	tt2049003:7.2	tt2049004:8.1	tt2049005:7.7	tt2049006:7.3	tt2049007:7.2	tt2049008:7.9	
3	tt2362240:7.7	tt2362244:7.4	tt2362252:8.1	tt2388438:7.1	tt2388444:8.0	tt2437732:8.2	
\N	tt9894628:-	
