1	tt0175938:7.2	tt0736723:6.3	tt0736725:7.8	tt0736726:-	tt0736727:6.2	tt0736728:-	tt0736729:-	tt0736730:-	tt0736732:-	tt0736734:6.3	tt0736735:7.0	tt0736736:-	tt0736739:-	tt0736741:6.2	tt0736742:6.0	tt0736743:-	tt0736744:-	tt0736745:-	tt0736747:-	tt0736749:-	tt0736750:-	tt0736751:6.7	tt0920373:6.8	tt0920374:-	tt1115901:6.5	tt1115902:5.6	tt1116648:-	
2	tt0736721:-	tt0736722:-	tt0736737:4.9	
8	tt0736724:-	tt0736733:6.0	
4	tt0736731:5.4	tt0736748:-	
5	tt0736738:-	tt0736752:-	
9	tt0736746:-	
