1	tt6048006:8.2	tt6049102:-	tt6049294:-	tt6049302:9.2	tt6049312:-	tt6049314:-	tt6049324:-	tt6049360:-	tt6049442:-	tt6049446:-	tt6053336:-	tt6057740:-	tt6057754:3.9	
\N	tt6049534:9.1	tt6079898:-	tt6079908:-	tt6134658:-	tt6134660:-	tt6134670:-	tt6134680:-	tt6134696:9.1	tt6141674:-	tt6148206:-	tt6172846:3.1	tt6172852:-	tt6172894:-	tt6172934:-	tt6172986:-	tt6173004:-	tt6205022:-	tt6205042:-	tt6205274:9.7	tt6205316:9.7	tt6205322:9.7	tt6205328:-	tt6217314:-	tt6217320:4.5	tt6217322:9.7	tt6236444:-	tt6236450:-	tt6236456:-	tt6236472:-	tt6236474:5.2	tt6246108:-	tt6271902:-	tt6279236:-	tt6303746:-	tt6303760:-	tt6306484:-	tt6382200:9.7	tt6382258:9.7	tt6382492:9.7	tt6443720:-	tt6469610:9.1	tt6487548:5.9	tt6491308:-	tt6494582:3.7	tt6494658:-	tt6498508:-	tt6500668:-	tt6501660:6.5	tt6503904:-	tt6504136:-	tt6507822:-	tt6507858:-	tt6512128:-	tt6524204:-	tt6532056:-	tt6546830:-	tt6550614:-	tt6553120:-	tt6572720:-	tt6613872:-	tt6869750:7.4	tt6888978:-	tt7065874:-	tt7186218:-	tt7192448:-	tt7196904:-	tt7200160:-	tt7203332:-	tt7207336:-	tt7211050:-	tt7216444:-	tt7221776:-	tt7226646:-	tt7230022:-	tt7238118:-	tt7242160:-	tt7379602:-	tt7379712:-	tt7379718:-	tt7418454:-	tt7449090:-	tt7466974:-	tt8503984:-	
2	tt6057766:-	tt6057788:-	tt6057796:9.2	tt6069370:-	tt6069380:-	tt6076768:-	tt6076780:-	tt6076824:-	tt6076842:8.8	tt6076850:-	tt6076902:-	tt6076934:-	
3	tt6086936:-	tt6095682:-	tt6095688:-	tt6095692:-	tt6102120:7.6	tt6102122:-	tt6102132:-	tt6102278:-	tt6102286:8.6	tt6102292:6.0	tt6102320:8.6	tt6102326:-	tt6102328:-	tt6102338:-	
4	tt6108252:9.7	tt6108260:9.8	tt6108274:8.8	tt6108300:8.8	tt6108332:9.1	tt6108440:8.7	tt6279020:8.2	tt6317006:9.4	tt6786288:9.2	tt7697418:-	tt8502978:-	tt9602806:-	
