1	tt0052236:6.0	tt0052237:6.7	tt0052238:6.5	tt0052239:6.4	tt0052240:6.5	tt0052241:6.4	
2	tt0053303:5.8	tt0053304:6.6	tt0053305:6.7	
3	tt0054338:7.3	tt0054339:6.8	tt0054340:7.0	
4	tt0055476:7.0	tt0055477:7.4	
5	tt0055704:7.2	tt0056523:7.3	
6	tt0057526:8.0	
7	tt0058613:7.1	tt0058614:7.1	tt0059751:7.0	tt0061025:7.2	tt0063641:7.6	
8	tt0213261:6.2	tt0214157:6.9	
9	tt0281222:7.1	tt0283607:6.4	
10	tt0304742:7.4	tt0339722:6.6	
