1	tt6130682:7.0	tt6153380:-	tt6153382:-	tt6153390:-	tt6158728:-	
2	tt7335152:7.4	tt7409918:-	tt7413748:-	tt7413752:-	tt7443838:-	tt7443930:-	
3	tt8938912:6.2	tt8955242:6.5	tt9121338:-	tt9121344:-	tt9121348:-	tt9121350:-	
