1	tt1021786:7.9	tt1021787:8.0	tt1021788:8.1	tt1021789:8.0	tt1022425:8.3	tt1022426:7.9	
3	tt1021790:8.3	tt1021791:8.3	tt1021792:8.1	tt1021793:8.1	tt1022430:8.3	
2	tt1021794:8.4	tt1021795:8.4	tt1022427:8.3	tt1022428:8.2	tt1022429:8.4	
4	tt1163572:7.2	
