20	tt1117637:-	tt3642574:-	
23	tt2128555:-	tt3621138:-	
24	tt2157013:-	tt3275348:-	
1	tt3266282:-	tt3642552:-	
25	tt3275350:-	tt3275352:-	
16	tt3275354:-	tt3275356:-	
17	tt3642548:-	tt3642550:-	
22	tt3642554:-	tt3642562:-	
18	tt3702256:-	tt3702258:-	
21	tt3702260:-	tt3702264:-	
19	tt4180584:-	tt4180588:-	
26	tt4240906:-	tt4240912:-	
27	tt5236826:-	tt5236828:-	
15	tt6148604:-	tt6148610:-	
12	tt6148618:-	tt6148622:-	
9	tt6172862:-	tt6865452:-	
11	tt6172874:-	tt6172882:-	
28	tt6296066:-	tt6296072:-	
29	tt7698464:-	tt7698466:-	
3	tt7806098:-	
30	tt9370430:-	tt9370432:-	
