1	tt2575338:-	tt2575340:6.2	tt2575342:-	tt2575344:-	tt2575346:5.9	tt2862616:-	tt2862618:-	
2	tt2862620:-	tt2862622:-	tt2888930:-	tt3127292:-	tt3127294:-	tt3127296:-	tt3127300:-	tt3127302:-	
3	tt4104728:-	tt4136876:-	tt4185660:-	tt4280800:-	tt4287444:7.8	tt4436882:-	tt8768298:-	tt8768306:-	
