7	tt10011384:8.3	tt10011390:9.0	tt10011396:9.2	tt8474102:8.4	tt8875792:8.5	tt8986666:9.1	tt9018174:8.2	tt9029182:8.3	tt9049452:8.8	tt9108706:9.0	tt9108710:8.3	tt9108714:8.6	tt9291592:8.3	tt9291604:8.3	tt9561936:8.4	tt9653254:8.5	tt9664060:8.7	tt9667342:8.6	tt9667348:8.4	tt9853744:8.4	tt9853748:8.3	tt9853752:8.8	
8	tt10360954:9.1	tt10799308:8.4	tt10799314:8.6	tt10799320:9.0	tt11033312:8.5	tt11033314:8.6	tt11033320:8.5	tt11089800:8.9	tt11229940:8.2	tt11278414:-	
1	tt2163210:7.8	tt2310894:8.0	tt2312872:8.2	tt2373952:8.1	tt2379540:8.0	tt2402782:8.3	tt2416020:8.1	tt2479680:8.2	tt2509264:8.6	tt2533198:8.3	tt2579706:8.1	tt2581270:8.3	tt2609418:8.3	tt2638200:8.0	tt2639730:8.2	tt2664004:8.2	tt2690598:8.2	tt2735448:8.1	tt2772138:8.8	tt2789826:8.1	tt2801894:8.2	tt2801896:8.7	tt2801898:8.5	tt2801900:8.7	
2	tt2876042:8.5	tt3168156:8.4	tt3168158:8.6	tt3168160:8.3	tt3168162:8.6	tt3168164:8.7	tt3168166:9.1	tt3168168:9.0	tt3168170:8.5	tt3168172:8.4	tt3375142:8.5	tt3418234:8.8	tt3418236:8.5	tt3418238:8.3	tt3418240:8.4	tt3418242:8.4	tt3557146:8.6	tt3557148:8.7	tt3557150:8.3	tt3557152:9.1	tt3557154:9.2	tt3557156:8.5	
3	tt3609400:8.6	tt3670022:9.0	tt4035138:8.3	tt4099178:8.4	tt4106282:8.2	tt4108968:8.5	tt4134706:8.4	tt4166338:9.0	tt4195122:8.3	tt4213356:8.5	tt4229856:8.6	tt4312128:8.3	tt4364762:8.2	tt4423192:8.4	tt4423198:8.2	tt4460454:8.6	tt4498814:8.1	tt4498820:8.5	tt4548724:8.7	tt4550012:9.2	tt4591034:8.4	tt4649310:8.4	tt4649312:8.9	
4	tt4649316:8.7	tt4986940:8.4	tt5100710:8.4	tt5122326:8.9	tt5145842:8.2	tt5159356:8.1	tt5174518:8.6	tt5190832:8.2	tt5207190:8.7	tt5232810:8.7	tt5232812:8.2	tt5323140:8.2	tt5336810:9.1	tt5355262:8.2	tt5426066:8.3	tt5431806:8.3	tt5520002:8.5	tt5558928:8.4	tt5592832:8.5	tt5601256:9.0	tt5601258:8.4	tt5601260:8.5	tt5601262:8.9	
5	tt5191318:8.5	tt6040842:8.9	tt6066120:8.4	tt6066122:9.0	tt6115100:8.5	tt6115102:8.8	tt6115104:8.5	tt6115106:8.8	tt6156648:8.5	tt6239036:8.5	tt6312114:9.0	tt6409824:8.7	tt6464100:8.8	tt6485142:9.0	tt6513582:9.1	tt6583930:9.1	tt6615616:8.5	tt6647064:8.3	tt6681480:8.3	tt6681484:9.1	tt6681486:8.3	tt6681488:9.3	
6	tt6884430:8.5	tt7204822:8.5	tt7389604:8.9	tt7395808:8.8	tt7436434:8.8	tt7511096:8.4	tt7589540:8.3	tt7614862:8.1	tt7712060:9.1	tt7794250:8.2	tt7826016:8.6	tt7852548:8.8	tt7874448:8.3	tt7975030:8.4	tt8008028:8.5	tt8010254:8.8	tt8032244:8.5	tt8070860:8.9	tt8183300:8.3	tt8183306:8.4	tt8201968:8.6	tt8201970:8.6	tt8201972:8.6	
