1	tt4270634:7.7	tt4487558:7.5	tt4550412:7.7	tt4600742:7.8	tt4623706:7.5	tt4718758:8.3	tt4799184:7.5	tt4853324:8.8	tt4853326:7.8	tt4853336:8.6	tt4853340:8.0	tt4946980:7.8	tt4946984:9.1	
2	tt5050108:8.7	tt5296226:8.2	tt5901312:7.5	tt5929142:7.6	tt5929154:7.4	tt5948888:8.1	tt6021194:7.8	tt6021198:8.0	tt6021200:8.9	tt6118018:8.3	tt6118028:8.5	tt6226992:8.9	tt6226996:8.5	tt6232528:9.3	tt6474372:8.1	tt6519076:9.3	tt6525888:8.1	tt6525904:8.6	tt6525918:7.9	tt6525990:8.5	tt6552172:8.9	tt6552176:9.3	
4	tt5306136:8.2	tt9042788:8.1	tt9042796:8.4	tt9042798:8.4	tt9042800:7.5	tt9042804:6.5	tt9042806:8.3	tt9042808:8.8	tt9042810:8.0	tt9042812:7.0	tt9042814:7.8	tt9042816:7.7	tt9042818:8.6	tt9042820:9.3	tt9042822:8.3	tt9042824:8.8	tt9042826:9.1	tt9042828:8.6	tt9042830:9.1	tt9042832:8.9	tt9042836:7.6	
3	tt6609914:9.2	tt6609918:7.8	tt6945360:8.3	tt6945362:8.6	tt6945364:9.2	tt7502852:8.3	tt7503778:8.2	tt7503784:8.4	tt7503962:7.6	tt7630870:8.7	tt7630872:7.6	tt7630876:9.1	tt7630882:8.9	tt7630888:7.7	tt7807060:8.4	tt7966438:7.8	tt7986110:9.0	tt7986120:9.1	tt7986128:8.3	tt7986136:9.2	tt8120836:9.2	
