1	tt14450254:-	tt14450274:-	tt14450276:-	tt14450280:-	tt14450288:-	tt14450294:-	tt14450302:-	tt14450306:-	tt14450318:-	
2	tt14450326:-	tt14450340:-	tt14450344:-	tt14450354:-	tt14450358:-	tt14450366:-	tt14450372:-	tt14450376:-	tt14450380:-	tt14450398:-	
3	tt14450408:-	tt14450410:-	tt14450412:-	tt14450422:-	tt14450428:-	tt14450432:-	tt14450436:-	tt14450440:-	
4	tt14450446:-	tt14450448:-	tt14450450:-	tt14450454:-	tt14450456:-	tt14450458:-	tt14450474:-	tt14450476:-	
5	tt14450480:-	tt14450484:-	tt14450490:-	tt14450492:-	tt14450496:-	tt14450498:-	tt14450502:-	tt14450504:-	
6	tt14450508:-	tt14450512:-	tt14450514:-	tt14450520:-	tt14450522:-	tt14450524:-	
