1	tt12116094:7.8	tt12116098:8.2	tt12116102:-	tt12116106:-	tt12116108:-	tt12116110:-	tt12116112:-	tt12116116:-	tt13706864:-	
2	tt12116122:-	tt12116124:-	tt12116128:-	tt12116132:-	tt12116138:-	tt12116140:-	tt12116142:-	tt12116152:-	
3	tt12122858:-	tt12122862:-	tt12122866:-	tt12122870:-	tt12122876:-	tt12122880:-	tt12122882:-	tt12122884:-	
4	tt12122886:-	tt12122892:-	tt12122898:-	tt12122904:-	tt12122908:-	tt12122914:-	tt12122920:-	tt12122926:-	tt12122942:-	tt12122948:-	
