1	tt0426236:8.5	tt0709224:8.3	tt0709225:7.3	tt0709233:7.5	tt0709234:7.9	tt0709235:7.4	tt0709237:7.6	tt0709239:7.6	tt0709243:7.8	tt0709244:7.2	tt0709245:7.6	tt0709246:8.1	tt0709247:8.6	tt0709248:7.3	tt0709253:8.5	tt0709254:8.8	tt0709256:8.4	tt0709258:7.8	tt0709260:7.7	
2	tt0709222:8.5	tt0709223:8.4	tt0709226:7.5	tt0709227:7.5	tt0709228:7.8	tt0709229:7.7	tt0709230:8.2	tt0709231:7.8	tt0709232:7.8	tt0709236:7.5	tt0709238:8.0	tt0709242:8.0	tt0709249:8.0	tt0709250:7.5	tt0709251:7.0	tt0709252:7.7	tt0709255:8.8	tt0709257:7.2	tt0709259:7.7	tt0757745:8.2	
3	tt0757029:8.4	tt0773982:7.5	tt0786246:6.9	tt0786616:8.4	tt0789664:8.2	tt0789665:7.0	tt0795289:8.8	tt0795290:8.5	tt0799359:8.4	tt0799360:8.7	tt0816948:6.8	tt0816949:7.2	tt0837029:7.7	tt0854027:8.4	tt0855631:8.4	tt0902890:7.4	tt0902891:8.0	tt0910785:7.5	tt0937136:7.6	tt0938048:8.7	
4	tt0957335:8.6	tt0958767:7.2	tt0958768:8.6	tt0958769:7.7	tt0958770:8.0	tt0958771:7.8	tt0990933:7.3	tt0990934:8.2	tt1013376:7.9	tt1015101:8.2	tt1036451:9.1	tt1036452:8.1	tt1164724:7.4	tt1164725:7.5	tt1164726:7.5	tt1169919:9.0	tt1169920:7.6	tt1173419:7.9	tt1173420:8.1	tt1178529:8.9	
5	tt1252199:9.0	tt1252200:8.8	tt1252201:6.1	tt1252202:7.3	tt1252203:8.2	tt1252204:7.8	tt1252205:7.9	tt1252206:7.6	tt1252207:7.2	tt1252208:8.1	tt1252209:7.3	tt1252210:8.8	tt1252211:7.2	tt1252212:8.4	tt1252213:7.6	tt1252214:8.8	tt1252215:7.6	tt1252216:8.0	tt1252217:7.9	tt1252218:8.0	
