1	tt3099376:9.0	tt3131046:-	tt3131052:-	tt3131054:-	tt3132974:-	tt3132976:-	tt3132986:-	tt3133002:-	tt3133046:-	tt3133050:-	tt3133056:-	tt3133058:-	tt3133070:-	tt3164838:-	
2	tt3139204:-	tt3139206:-	tt3139210:-	tt3139214:-	tt3139220:-	tt3139224:-	tt3139232:-	tt3139234:-	tt3139238:-	tt3139246:-	tt3139248:-	tt3139254:-	tt3139260:-	
3	tt3139262:-	tt3142374:-	tt3142382:-	tt3142386:-	tt3143768:-	tt3154858:-	tt3154862:-	tt3154868:-	tt3154870:-	tt3154872:-	tt3154874:-	tt3154876:-	tt3154882:-	
4	tt3164824:-	tt3164834:-	tt3164848:-	tt3164854:-	tt3164856:-	tt3164858:-	tt3164860:-	tt3164876:-	tt3164882:-	tt3164884:-	tt3164892:-	tt3164900:-	
