5	tt10204634:-	tt10281050:-	tt10281054:-	tt10281060:-	tt10281064:-	tt10281068:-	tt10281070:-	tt10281074:-	tt10281078:-	tt11356908:6.6	tt9772958:-	
6	tt11179204:-	tt11179294:-	tt11179304:-	
\N	tt12103380:-	tt5140804:-	
1	tt4679034:7.8	tt4682124:7.6	tt4688820:7.4	tt4699604:7.2	tt4711642:7.8	tt4728562:7.4	tt4760798:6.0	tt4777718:7.6	tt4795682:7.2	
2	tt5120706:-	tt5120708:-	tt5120714:-	tt5120716:-	tt5120728:-	tt5277868:8.0	tt5277872:-	tt5277878:-	tt5277880:-	tt5277882:-	
3	tt6033158:-	tt6033160:-	tt6033166:-	tt6033168:-	tt6033170:-	tt6826946:-	tt6951260:-	tt7007960:-	tt7027438:-	tt7037474:-	
4	tt7133276:8.8	tt7133280:-	tt7148152:-	tt7148156:-	tt7148160:-	tt7148162:-	tt7148166:-	tt7148168:-	tt7148172:-	tt7148176:-	
